"DATE";"Tair_min";"Tair_max";"Tair_mean";"RG_sum";"PPT_sum";"RHair_min";"RHair_max";"RHair_mean";"WS_mean"
"01/01/1959";2;6,3;4,1;3,474;1,4;81,2809009789602;100;94,754820842039;5,5
"02/01/1959";3,9;5,9;4,6;0,83;10;83,5271639757922;96,0582765120854;91,4477632734684;9,2
"03/01/1959";0,2;4,5;2,5;3,728;7,6;82,4909284094855;100;95,0214166631797;4,3
"04/01/1959";-0,3;2,2;1,1;5,086;0;82,5689703126338;98,9098699860361;89,355268280061;5
"05/01/1959";-0,9;9,2;2;1,97;17,4;56,5382516572898;100;93,2552973376443;5,2
"06/01/1959";3,6;10,2;9,1;0,75;2,9;88,3070860281027;100;95,0848751036572;10,8
"07/01/1959";6,3;8,5;7;2,102;14,7;79,8584702734272;92,8412308030687;88,4703217893251;7,9
"08/01/1959";2;4,8;2,6;3,403;0,2;72,8915666319476;88,8651817543558;85,1377639111316;5,8
"09/01/1959";-0,9;2;0,3;1,802;2,8;79,1607157281391;97,6758858994368;89,4843203846712;5,9
"10/01/1959";-0,1;3,9;0,7;5,566;2,1;66,3807509818698;88,415569465675;83,4250616938666;5,6
"11/01/1959";-3,4;0,4;-1,2;1,007;3,8;85,0253272223745;100;95,5678831046465;4,5
"12/01/1959";-4;0,7;-0,8;5,538;1;80,1519981420087;100;89,405624482349;6,4
"13/01/1959";0,1;1,1;0,2;0,666;1,1;87,9009342583993;94,5048888986001;93,8201818488654;4,3
"14/01/1959";-1,5;1,6;-0,4;1,993;12,8;84,3891413646125;100;97,5458892840607;2,9
"15/01/1959";0,4;1,8;1;0,709;7,9;90,851063788877;100;96,2343488497776;3,1
"16/01/1959";-4,4;0,1;-1,8;3,326;0;81,4395747575429;100;93,6154200047401;3,9
"17/01/1959";-4,1;-0,6;-2;5,192;0;87,185185286126;100;96,6496639951223;1,5
"18/01/1959";-2,7;2,2;-0,2;0,895;1,1;71,1345915272704;100;84,5930975130988;4,8
"19/01/1959";0,6;10;4,9;1,469;0,1;51,2801759544409;98,7265993437253;72,7036404373376;5,7
"20/01/1959";6,8;10;8,8;1,014;5,6;74,0595655319248;92,0377871428903;80,2948662370117;10,3
"21/01/1959";5,9;9;7,7;0,876;0,2;72,5850856904856;89,7416692400693;79,287652816062;10,6
"22/01/1959";8,5;14,2;10,7;3,821;7,2;57,9814120419945;84,6173712056675;72,9794809916677;12,4
"23/01/1959";7,5;10;8,5;3,016;7,1;78,8517331528291;93,3982184560862;87,2465170910718;7,7
"24/01/1959";2,9;4,3;3,4;2,605;0;78,0235371063406;86,1351221068393;83,1346257647415;2,7
"25/01/1959";-1,9;2,8;0,4;7,559;0;75,5758424438997;100;89,7964953251244;1,6
"26/01/1959";-0,9;3,9;0,6;6,981;0;67,7334001046756;95,6516629283743;85,7436553968932;5
"27/01/1959";-1,5;6;1,5;7,742;0;53,9578714003923;92,2202117381234;74,1245892624333;4,4
"28/01/1959";-0,5;5,6;2,1;9,108;0;64,7251532486161;99,9780113481603;82,8403253423754;2,2
"29/01/1959";-1,9;3,5;1;8,777;0;75,2179114529522;100;89,9279699519852;1,3
"30/01/1959";-3,8;2,7;-0,8;8,83;0;72,3349734277865;100;93,1414720390664;1,7
"31/01/1959";-1,7;2,7;0,7;5,194;0;79,1047005064126;100;91,3159358382682;5,3
"01/02/1959";-1,3;3,1;0,5;8,797;0;63,3005919955775;86,9957013051658;76,2761052560722;7,5
"02/02/1959";-1,2;2,2;0,1;5,935;0;56,9668951039716;72,892734261885;66,2806301557484;8,4
"03/02/1959";-2,8;1,3;-0,7;7,798;0;60,912438767086;82,2586460396766;70,434827798901;5,5
"04/02/1959";-2,9;1,2;-0,4;3,217;0;62,6254523552706;84,5934788392434;70,33528618707;3,8
"05/02/1959";-1,4;4;0,6;6,682;0;62,406555153831;92,0753896867817;79,5588671387566;1,1
"06/02/1959";-3,5;5,5;1,4;10,204;0;60,4477046620523;100;80,7868152759653;0,8
"07/02/1959";-2,9;7,6;1,8;10,552;0;54,3920833330265;100;81,6393847205001;1,9
"08/02/1959";-1,1;8,4;3,3;7,318;0;59,2407849969005;100;84,3782087344814;1,7
"09/02/1959";-0,1;5,8;3,2;2,2;0;76,4187893632124;100;91,702609324798;0,6
"10/02/1959";1,4;8,9;4,5;6,446;0;68,8460880233793;100;93,2135878038673;1,4
"11/02/1959";2,4;2,8;2,5;2,33;0;98,3380727843523;100;100;3,2
"12/02/1959";0,9;3,1;1,7;3,559;0,2;90,603378553238;100;100;1,6
"13/02/1959";0,1;0,7;0,4;2,8;0;96,1620997018717;100;98,2756908120767;1,7
"14/02/1959";-1,5;-0,2;-1;2,756;0;93,586023665628;100;99,2282960689156;0,3
"15/02/1959";-3,2;0,7;-1,2;2,476;0;86,0891831895648;100;98,8904627551283;0,6
"16/02/1959";-2,7;5,6;1,4;11,461;0;66,6251439006109;100;89,6639571157847;1,3
"17/02/1959";1,4;10,6;5,5;10,806;0;53,3951678171238;100;75,5731679367014;3,2
"18/02/1959";-0,6;7,1;3,6;11,401;0;69,1833203859829;100;88,2772132777969;2,8
"19/02/1959";-0,8;5,5;1,6;4,473;0;72,8657461094969;100;95,992945530837;0,6
"20/02/1959";-2,5;4,9;2,1;9,98;0;78,2933326997992;100;95,4349912556859;2,5
"21/02/1959";4;10,1;7;5,93;0;64,1237475229283;97,4889424070286;79,1302510320927;4,2
"22/02/1959";6,8;9,4;8,4;3,441;0,2;89,4763159372379;100;95,7376041113165;2,9
"23/02/1959";7,2;9;7,4;5,313;0;82,3255725417518;93,0582165809839;91,7915524206702;1,4
"24/02/1959";0,1;11,7;5,4;9,297;0;53,6281093558106;100;82,2259348599599;2,6
"25/02/1959";2,3;10,6;6,4;13,092;0;64,6429676773347;100;85,9616178987384;1,1
"26/02/1959";1,2;14,4;7,8;9,575;0;52,287633443719;100;81,0742623550738;1,4
"27/02/1959";0,4;16,3;8,4;13,735;0;43,7482902728672;100;73,5703707837194;2,1
"28/02/1959";1,4;16,1;8,7;13,845;0;44,9869576499525;100;73,1896725537062;1,7
"01/03/1959";1,1;15,6;8,4;9,129;0;48,1228664305297;100;77,3856784545133;1,5
"02/03/1959";1,5;15,4;9;11,392;0;46,4155646496992;100;70,7534197957139;3,5
"03/03/1959";8,3;14;10,5;1,634;9,1;62,2764997151812;90,9409519205626;78,4145151282117;6,1
"04/03/1959";8;11,1;9,2;4,984;0,1;76,4404649720111;94,1690581910867;86,8105910605116;7,1
"05/03/1959";6,7;14,9;10,5;8,333;4,1;58,9852697565021;100;78,7226271719375;6,3
"06/03/1959";8,3;11,4;9,4;7,094;0;70,6168404842478;86,9507464335438;80,7138840088769;4,9
"07/03/1959";6,5;13,1;8,9;5,575;0,7;63,1939132134706;98,4396361615258;83,5559353190722;5,6
"08/03/1959";4,8;9,2;6,7;7,687;0;78,7136858429909;100;93,3379543019993;2,5
"09/03/1959";3;12,8;8,9;10,012;0;61,371000482956;100;79,5675510668872;4,5
"10/03/1959";9,1;16,1;12,2;4,95;0;55,4165215794901;87,7511262080918;71,3625074471932;2,6
