"DATE";"Tair_min";"Tair_max";"Tair_mean";"RG_sum";"PPT_sum";"RHair_min";"RHair_max";"RHair_mean";"WS_mean"
"01/01/1959";5,2;9,5;6,3;4,135;0;72,415830347021;97,2208201057363;90,0749480386587;1,5
"02/01/1959";1,6;12,1;7,2;3,846;12,5;63,7525936006565;100;88,6284015108991;4,8
"03/01/1959";5,7;8,3;6,6;3,469;9,7;75,1736847162608;89,8740654936861;84,4493883130021;3,6
"04/01/1959";6;11,8;8,4;4,017;6,2;69,7494937250272;100;87,5894082717528;4,7
"05/01/1959";5,6;9,2;7,8;1,03;1,8;86,8245995470472;100;95,4775371606969;1,5
"06/01/1959";7;11,8;8,6;0,758;8,9;71,2686030767963;98,4775404577884;88,2906605684714;5,9
"07/01/1959";9,2;13,1;12;1,806;17,4;79,2816023258135;100;85,2210336293725;7,5
"08/01/1959";4,7;7,8;6;3,712;1,3;73,7108769464238;91,324859438254;83,4211355899442;2,2
"09/01/1959";-1,6;3,9;1,4;8,113;0,3;74,7792888189921;100;89,3503624312259;1,1
"10/01/1959";0;3,2;1,1;6,803;0;78,2113163498798;98,4252990217747;90,8835514892648;1,4
"11/01/1959";-1,9;0,1;-1,8;3,404;4;83,0031721902455;96,1210464263303;95,4127873266665;1,3
"12/01/1959";-2,7;1,8;-0,3;1,328;0;79,9283094737024;100;93,0434914903126;1,3
"13/01/1959";-1,8;9,3;3,5;0,966;9,6;65,4529813782345;100;97,6877568952753;3,8
"14/01/1959";8,1;12,9;10,7;0,976;5,8;79,2306289941253;100;91,6265554613318;6,8
"15/01/1959";8,2;10,8;9,5;1,397;8,3;81,7438610966367;97,3776963198979;89,1778642529381;5,9
"16/01/1959";2,6;5,9;4,2;8,842;0;66,4811622480717;83,8316983701132;74,8575264304892;4,1
"17/01/1959";-4,4;2,7;-0,7;3,756;0;67,9610263867262;100;86,8705574607906;1,9
"18/01/1959";-1,1;8,8;4,2;6,887;0;50,358798523625;100;69,1646382308639;2,7
"19/01/1959";2,6;12,4;7,7;3,025;8,7;53,8917681770289;100;73,8436062318605;4,6
"20/01/1959";7,7;16;10,3;0,999;3,6;52,06067247205;90,0826853590939;75,5662626283844;6
"21/01/1959";3,9;11,5;8,5;3,936;0;62,7510662696235;100;76,7299335494544;4
"22/01/1959";7,7;17,5;12,1;6,355;2,9;48,2664047025013;91,8663473453707;68,3822187426093;6,3
"23/01/1959";7,9;16,8;11,7;7,698;0;59,1936814208229;100;82,3743881329636;2,7
"24/01/1959";7,7;10,9;8,6;2,619;0;77,5138719370044;96,1781563208921;90,4643731303852;3
"25/01/1959";2,4;8,8;4,9;8,252;0;53,1221278510146;82,8800072371439;69,4665122584036;2,8
"26/01/1959";-0,3;13;5,3;9,532;0;33,529204426052;84,0665681177869;56,3899839150657;5,1
"27/01/1959";7,3;10,9;9,7;9,474;0;69,2262252519159;88,2779507924839;75,0105607392032;2,5
"28/01/1959";1;11,4;5,4;10,263;0;55,6954053545283;100;83,7163253680317;2,1
"29/01/1959";0,3;8,3;3,3;4,495;0;65,1683933458256;100;92,1925660586183;1,6
"30/01/1959";-2,4;5,5;1,6;4,501;0;74,2014075442512;100;97,7525387855514;0,7
"31/01/1959";-0,5;6,4;2,9;3,49;0,5;73,8194757769201;100;94,3260846619047;0,8
"01/02/1959";1,4;3,5;2,1;10,896;0;69,6108335699326;80,8591832800942;76,8985794925623;3,5
"02/02/1959";-2,7;3,7;0,2;2,387;0;60,7920369920717;96,6942850676629;78,1133258298602;3,9
"03/02/1959";-4,5;2,7;-0,5;4,482;2,7;69,2138654889394;100;87,1865848062467;2,1
"04/02/1959";0,5;5,7;3,8;1,384;0,7;85,1391672125769;100;97,2461765842596;0,9
"05/02/1959";1,9;13,5;7,1;7,909;0;56,2459670485898;100;86,2973442796423;1,7
"06/02/1959";4;12,9;6,9;11,452;0;59,6995614569312;100;89,2933917289309;2,2
"07/02/1959";1,8;10;6,4;2,784;0;75,6790792431445;100;96,6792629001198;0,7
"08/02/1959";4,5;13,6;8,8;6,138;0;64,1372380505308;100;88,210653372763;1,3
"09/02/1959";1,9;12,6;7,1;11,693;0,6;62,4942446256842;100;90,4021243259025;1,3
"10/02/1959";6,3;11,6;7,6;6,315;1,6;68,3630739978196;97,82737010682;89,4666222839245;2,3
"11/02/1959";0,2;7;3,8;6,146;0;75,5667048721033;100;94,4200802963206;0,8
"12/02/1959";-1,4;10,4;4,2;10,918;0;56,5685125010707;100;86,5200404505548;2
"13/02/1959";0;12,6;5,8;7,963;0;52,6185005697127;100;83,259888480391;1,6
"14/02/1959";0,3;9,4;4,4;5,058;0;69,9197841097446;100;98,6061589250406;1,4
"15/02/1959";-1,4;14,6;5,8;12,414;0;43,2207507211258;100;77,9036790940729;1,7
