Name;Value;Unit
gCrown0;45;mmol/m2/s
gsMax;200;mmol/m2/s
gsNight;20;mmol/m2/s
JarvisPAR;0.006;-
Tgs_sens;17;-
Tgs_optim;25;-
P12_gs;-2.07;Mpa
P88_gs;-2.62;Mpa
turgorPressureAtGsMax;1;Mpa
gmin20;4;mmol/m2/s
TPhase_gmin;37.5;¡C
Q10_1_gmin;1.2;mmol/m2/s /10¡C
Q10_2_gmin;4.8;mmol/m2/s /10¡C
kPlantInit;0.62;mmol/m2/s/Mpa
k_TSymInit;0.26;mmol/m2/s/Mpa
LDMC;0.5;fraction
Succulence;;g/m2
LMA;100;g/m2
P50_VC_TL; -3.4;Mpa
slope_VC_TL;60;%/Mpa
EpsilonSymp_Leaf;10;Mpa
PiFullTurgor_Leaf;-2.1;Mpa
ApoplasmicFrac_Leaf;0.4;-
P50_VC_Root;-3.4;Mpa
slope_VC_Root;60;%/Mpa
PiFullTurgor_Trunk;-2.1;Mpa
EpsilonSymp_Trunk;10;Mpa/%
ApoplasmicFrac_Trunk;0.4;-
SymplasmicFrac_Trunk;0.2;-
VolumeLiving_TRB;39.87;(mm or sapwood litre/m2 of soil)
Tbase;3;¡C
Fcrit;450;¡C
PTcoeff;1.14;-
CanopyStorageParam;1.5;mm/m2 leaf
K;0.5;-
Foliage;Evergreen;-
fRootToLeaf;1;-
rootRadius;0.0002;m
betaRootProfile;0.97;-
fTRBToLeaf;0.8;m2 wood exposed/m2leaf
C_LApoInit;0.138888888888889;mmol/m2 leaf/Mpa
C_TApoInit;0.0138888888888889;mmol/m2 leaf/Mpa
gmin_T;3;mmol/m2/s
DayStart;55;doy
