Variable;object;name;index;digit
kSoilToCollar1;WBveg;kSoilToCollar;1;4
kSoilToCollar2;WBveg;kSoilToCollar;2;4
kSoilToCollar3;WBveg;kSoilToCollar;3;4
k_RT1;WBveg;k_RT;1;4
k_RT2;WBveg;k_RT;2;4
k_RT3;WBveg;k_RT;3;4
k_TL;WBveg;k_TL;1;4
k_LSym;WBveg;k_LSym;1;4
k_TSym;WBveg;k_TSym;1;4
C_LSym;WBveg;C_LSym;1;4
C_TSym;WBveg;C_TSym;1;4
C_LApo;WBveg;C_LApo;1;4
C_TApo;WBveg;C_TApo;1;4
PLC_Trunk;WBveg;PLC_Trunk;1;2
PLC_Leaf;WBveg;PLC_Leaf;1;2
F_L_Cav;WBveg;F_L_Cav;1;4
F_T_Cav;WBveg;F_T_Cav;1;4
Delta_Q_LApo_mmol_diag;WBveg;Delta_Q_LApo_mmol_diag;1;4
Psi_LApo;WBveg;Psi_LApo;1;3
Psi_TApo;WBveg;Psi_TApo;1;3
Psi_LSym;WBveg;Psi_LSym;1;3
Psi_TSym;WBveg;Psi_TSym;1;3
Psi_TApo_cav;WBveg;Psi_TApo_cav;1;3
Psi_LApo_cav;WBveg;Psi_LApo_cav;1;3
Psi_AllSoil;WBveg;Psi_AllSoil;1;3
Q_LApo_sat_mmol;WBveg;Q_LApo_sat_mmol;1;4
Q_TApo_sat_mmol;WBveg;Q_TApo_sat_mmol;1;4
Q_LSym_sat_mmol;WBveg;Q_LSym_sat_mmol;1;4
Q_TSym_sat_mmol;WBveg;Q_TSym_sat_mmol;1;4
gmin_T;WBveg;gmin_T;1;4
gmin;WBveg;gmin;1;4
gs;WBveg;gs;1;4
gs_bound;WBveg;gs_bound;1;4
gs_lim;WBveg;gs_lim;1;4
gcanopy_Bound;WBveg;gcanopy_Bound;1;4
gcanopy_lim;WBveg;gcanopy_lim;1;4
gBL;WBveg;gBL;1;4
gCrown;WBveg;gCrown;1;4
regulFact;WBveg;regulFact;1;4
Eprime;WBveg;Eprime;1;4
Emin;WBveg;Emin;1;4
EminT;WBveg;EminT;1;4
Elim;WBveg;Elim;1;4
transpiration_mm;WBveg;transpiration_mm;1;4
Emin_mm;WBveg;Emin_mm;1;4
EminT_mm;WBveg;EminT_mm;1;4
fluxSoilToCollar1_mm;WBveg;fluxSoilToCollar_mm;1;4
fluxSoilToCollar2_mm;WBveg;fluxSoilToCollar_mm;2;4
fluxSoilToCollar3_mm;WBveg;fluxSoilToCollar_mm;3;4
leafTemperature;WBveg;leafTemperature;1;4
LAI;WBveg;LAI;1;2
LAIpheno;WBveg;LAIpheno;1;2
canopyStorageCapacity;WBveg;canopyStorageCapacity;1;4
pptSoil;WBveg;pptSoil;1;2
interceptedWaterAmount;WBveg;interceptedWaterAmount;1;4
evaporationIntercepted;WBveg;evaporationIntercepted;1;4
ETPr;WBveg;ETPr;1;2
LAIdead;WBveg;LAIdead;1;2
DFMC;WBveg;DFMC;1;2
LFMCSymp;WBveg;LFMCSymp;1;2
LFMCApo;WBveg;LFMCApo;1;2
LFMC;WBveg;LFMC;1;2
FMCCanopy;WBveg;FMCCanopy;1;2
PsiSoil1;WBsoil;PsiSoil;1;4
PsiSoil2;WBsoil;PsiSoil;2;4
PsiSoil3;WBsoil;PsiSoil;3;4
REW1;WBsoil;REW;1;4
REW2;WBsoil;REW;2;4
REW3;WBsoil;REW;3;4
SWS1;WBsoil;soilWaterStock;1;4
SWS2;WBsoil;soilWaterStock;2;4
SWS3;WBsoil;soilWaterStock;3;4
kSoil1;WBsoil;kSoil;1;4
kSoil2;WBsoil;kSoil;2;4
kSoil3;WBsoil;kSoil;3;4
Drainage_mm;WBsoil;Drainage;1;4
SoilEvaporation_mm;WBsoil;EvaporationSum;1;4
ETP;WBclim;ETP;1;2
VPD;WBclim;VPD;1;2
RG;WBclim;RG;1;3
Tair;WBclim;Tair_mean;1;2
Rn;WBclim;Rn;1;2
PAR;WBclim;PAR;1;4
WS;WBclim;WS;1;2
RH;WBclim;RHair_mean;1;2
PPT;WBclim;PPT;1;2
daily_transpiration_mm;WBdaily;transpiration_mm;1;3
daily_evaporation_mm;WBdaily;evaporation_mm;1;3
daily_Psi_LSymMin;WBdaily;Psi_LSymMin;1;2
daily_Psi_LSymMax;WBdaily;Psi_LSymMax;1;2
daily_Psi_LApoMin;WBdaily;Psi_LApoMin;1;2
daily_Psi_LApoMax;WBdaily;Psi_LApoMax;1;2
daily_Psi_TSymMin;WBdaily;Psi_TSymMin;1;2
daily_Psi_TSymMax;WBdaily;Psi_TSymMax;1;2
daily_Psi_TApoMin;WBdaily;Psi_TApoMin;1;2
daily_Psi_TApoMax;WBdaily;Psi_TApoMax;1;2
daily_PLC_Leaf_max;WBdaily;PLC_Leaf_max;1;4
daily_PLC_Trunk_max;WBdaily;PLC_Trunk_max;1;4
daily_temperature;WBdaily;temperature;1;4
daily_RH;WBdaily;RH;1;4
daily_RG;WBdaily;RG;1;4
daily_PPT;WBdaily;PPT;1;4
daily_Rn;WBdaily;Rn;1;4
daily_PPT;WBdaily;PPT;1;4
daily_ETP;WBdaily;ETP;1;4
daily_VPD;WBdaily;VPD;1;4
daily_WS;WBdaily;WS;1;4
daily_SWS1;WBdaily;SWS;1;4
daily_SWS2;WBdaily;SWS;2;4
daily_SWS3;WBdaily;SWS;3;4
yearly_transpiration_mm;WByearly;transpiration_mm;1;4
yearly_evaporation_mm;WByearly;evaporation_mm;1;4
yearly_Psi_LSymMin;WByearly;Psi_LSymMin;1;4
yearly_Psi_LSymMax;WByearly;Psi_LSymMax;1;4
yearly_Psi_LApoMin;WByearly;Psi_LApoMin;1;4
yearly_Psi_LApoMax;WByearly;Psi_LApoMax;1;4
yearly_Psi_TSymMin;WByearly;Psi_TSymMin;1;4
yearly_Psi_TSymMax;WByearly;Psi_TSymMax;1;4
yearly_Psi_TApoMin;WByearly;Psi_TApoMin;1;4
yearly_Psi_TApoMax;WByearly;Psi_TApoMax;1;4
yearly_PLC_Leaf_max;WByearly;PLC_Leaf_max;1;4
yearly_PLC_Trunk_max;WByearly;PLC_Trunk_max;1;4
yearly_temperature_max;WByearly;temperature_max;1;4
yearly_RH_min;WByearly;RH_min;1;4
yearly_RG;WByearly;RG;1;2
yearly_PPT;WByearly;PPT;1;1
yearly_Rn;WByearly;Rn;1;2
yearly_ETP;WByearly;ETP;1;1
yearly_VPDmax;WByearly;VPDmax;1;2
yearly_dayOfDeath;WByearly;dayOfDeath;1;1
