"DATE";"Tair_min";"Tair_max";"Tair_mean";"RG_sum";"PPT_sum";"RHair_min";"RHair_max";"RHair_mean";"WS_mean"
"01/01/1959";7.9;10.7;8.7;6.251;0;72.7261240015908;87.8363988272671;83.1878657950559;3.7
"02/01/1959";5.7;7.4;6.5;7.427;0;72.9677932229853;82.0419029234302;77.6233161793794;5.6
"03/01/1959";5.6;7;5.9;6.611;0;61.2311607307762;67.4496681458162;66.0598398572733;10.4
"04/01/1959";3.2;7.7;4.9;3.977;1.9;59.1865577359336;80.9477578495094;71.8190763419312;10.4
"05/01/1959";1.4;5.4;2.9;8.648;0;47.2562844022758;62.7189369117676;56.3399540824609;9.2
"06/01/1959";1.3;7.9;5.9;2.086;0.1;72.0622606647672;100;82.6845191941953;0.8
"07/01/1959";4.5;10.6;7.9;3.883;0.1;70.7514666943881;100;84.8835291227448;6.1
"08/01/1959";3.6;9;5.8;6.263;0;52.6071483730925;76.3996905382475;65.4942434861674;11.8
"09/01/1959";2;3.6;2.4;9.506;0;51.5929893999177;57.8108904704624;56.1814625053736;12.5
"10/01/1959";0.3;3.1;2;10.148;0;52.4478411573212;64.1225938541646;56.7249145103858;11.5
"11/01/1959";-0.5;1.8;0.5;9.469;0;54.9653623800094;64.9261801748645;60.3670154659094;9
"12/01/1959";-1.4;4;1.3;9.007;0;48.4337414878431;71.4597306403035;58.7014168573115;8.9
"13/01/1959";-1.2;4.8;1.2;8.371;0;48.0637059226779;73.912824505454;62.0625819355085;6.2
"14/01/1959";2.5;10;6.7;2.015;0.1;62.1919814513475;100;77.8231564165985;1.1
"15/01/1959";5.9;8.8;7;3.246;1.8;73.1706578148356;89.2501264508045;82.7263409926299;3.9
"16/01/1959";3.5;7.1;5.1;6.938;0;61.0222419475523;78.4160225417856;70.0806052510716;10.8
"17/01/1959";0.5;4.1;2.2;10.691;0;54.2252378096039;70.1235608226597;62.046310381135;7.3
"18/01/1959";-0.8;7.7;4.5;4.137;0;61.5751137871217;100;76.8392739994504;1.2
"19/01/1959";5.8;8.2;7.1;4.269;0;75.0869582614484;88.5453888319063;80.9482017784136;6.4
"20/01/1959";6.1;9.9;8.5;4.778;0;69.1321088417599;89.5632747514349;75.9808472916018;10.7
"21/01/1959";9.5;12.4;10.9;4.651;0;74.5610327624637;90.4271231271711;82.3389573373727;8.2
"22/01/1959";10;11.6;10.8;6.088;0;79.1622679178801;88.0643767232101;83.4804147960418;8.7
"23/01/1959";10.4;12.4;10.4;2.41;0;77.7644291905459;88.7881381956491;88.7881381956491;1.5
"24/01/1959";6.7;12.1;9.5;6.56;0;69.1095663334896;99.4342399807382;82.1765233094347;5.5
"25/01/1959";5.8;8.6;6.7;11.539;0;57.7127979525566;69.9312354200482;65.7136407223188;6.5
