DATE;Tair_min;Tair_max;Tair_mean;RG_sum;PPT_sum;RHair_min;RHair_max;RHair_mean;WS_mean
01/01/2009;5.7;11.02;8;4.02;0;58.59;104.26;81.43;1.54
02/01/2009;5.19;8.67;5.81;6.29;0;49.92;86.36;68.14;1.31
03/01/2009;2.83;8.97;5.57;9.92;0;53.62;104.23;78.92;1.19
04/01/2009;0.61;8.97;3.25;10.16;0;41.26;109.38;75.32;1.02
05/01/2009;-2.13;5.34;2.01;6.9;0;29.2;63.4;46.76;2.62
06/01/2009;-4.49;5.19;0.13;4.17;1.5;23.8;94.4;58.7;2.12
07/01/2009;1.79;-1.41;0.35;1.6;14.98;99.05;99.05;99.05;1.73
08/01/2009;1.32;4.6;2.47;5.28;0;76.87;115.8;96.34;1.41
09/01/2009;3.97;8.43;5.76;4.33;0;54.8;90;72.65;3.34
10/01/2009;5.76;10.84;7.58;6.45;0;39.2;78;64.56;1.63
11/01/2009;7.24;13.33;9.64;8.8;0;29.8;45;37.48;1.59
12/01/2009;6.79;14.08;9.58;8.8;0;28.1;73.2;42.58;1.49
13/01/2009;5.73;12.38;8.3;8.68;0;28.3;57.5;42.65;1.9
14/01/2009;1.41;8.06;5.08;9.51;0;45.5;69.5;56.62;3.76
15/01/2009;0.85;10.67;5.63;9.16;0;57;83.9;71.51;2.57
16/01/2009;5.47;12.16;7.56;7.74;0;43.3;82.7;69.22;1.79
17/01/2009;5.17;11.91;7.03;5.31;0;57.4;94.2;82.03;1.36
18/01/2009;5.77;8.66;7.12;2.05;0;68.2;95;90.05;2.13
19/01/2009;5.7;11.49;8.95;9.03;0;67.39;119.02;93.2;3.17
20/01/2009;6.2;8.45;6.66;7.71;0;66.25;94.41;80.33;2.4
21/01/2009;2.01;6.96;4.12;9.11;0;49;73.9;61.2;5.91
22/01/2009;-0.57;5.9;3.46;6.21;0;39.5;87.1;62.43;2.5
23/01/2009;5.19;6.69;6.09;0.69;0;82.09;91.82;86.96;2.25
24/01/2009;5.7;7.42;6.42;1.23;0;62.75;77.42;70.09;3.56
25/01/2009;3.97;7.08;5.77;9.82;2;53.04;71.54;62.29;3.22
26/01/2009;5.25;4.68;5.31;2.17;19.05;89.93;92.25;91.09;2.58
27/01/2009;3.78;8.43;5.22;8.71;0;47.84;89.92;68.88;3.17
28/01/2009;-0.17;8.04;3.72;11.14;0;47.1;73.4;61.39;3.26
29/01/2009;4.76;10.75;7.32;11.12;0;44.1;84.6;60.52;1.38
30/01/2009;3.48;9.55;6.24;11.17;0;54.6;91.7;74.56;2.36
31/01/2009;3.97;8.52;6.1;5.06;0;70.1;91.5;83.13;3.12
01/02/2009;4.53;7.32;5.57;3.21;0;74.5;88.9;82.57;4.81
02/02/2009;5.05;6.88;6.08;1.07;12.7;88.4;94.6;92.2;5.33
03/02/2009;8.71;9.4;9.42;7.13;0;70.23;76.66;73.45;4.37
04/02/2009;5.22;8.74;8.01;7.95;0;80.02;103.21;91.61;2.32
05/02/2009;8.71;10.07;10.28;5.44;0;81.06;89.78;85.42;4.04
06/02/2009;10.47;9.23;9.44;0.74;4.8;84.34;93.21;88.78;3.29
07/02/2009;5.41;6.53;5.75;8.56;0;68.7;84.59;76.64;3.55
08/02/2009;-0.48;4.32;1.41;12.03;0;59;74.8;67.48;5.75
09/02/2009;-0.73;9.96;5.66;11.59;0;18.6;93.5;58.33;4.73
10/02/2009;3.6;10.58;7.77;11.5;0;51.1;93.7;71.9;5.38
11/02/2009;1.77;6.07;3.45;13.67;0;40.5;66.8;52.11;7.1
12/02/2009;-0.8;5.97;1.99;14.02;0;33;60.7;45.14;6.25
13/02/2009;-0.84;5.5;1.53;14.42;0;23.1;52.1;36.73;4.97
14/02/2009;-1.6;6.09;1.53;14.5;0;29.8;59.9;44.23;3.22
15/02/2009;0.11;6.87;3.24;14.24;0;23.7;75.4;41.45;1.93
16/02/2009;2.48;7.59;4.48;12.37;0;53;82.3;65.9;1.57
17/02/2009;2.72;9.34;5.04;13.09;0.5;44.1;75.8;59.15;3.75
18/02/2009;3.42;12.52;6.75;12.55;0;37.9;77.3;63.05;3.21
19/02/2009;1.5;7.73;4.15;7.02;0;45.1;80.6;59.13;1.95
20/02/2009;3.4;9.84;5.86;10.76;0;48;78.9;67.21;1.77
21/02/2009;1.19;11.56;6.07;12.1;0;42.4;79.7;61.97;2.7
22/02/2009;1.14;7.12;4.97;6.21;0;52.5;73.6;61.94;3.44
23/02/2009;3.06;11.08;6.53;15.49;0;43;63.7;52.76;3.84
24/02/2009;2.43;13.02;7.36;15.32;0;29;65.4;45.18;2.34
25/02/2009;4.5;10.72;6.92;11.36;0;39.8;81.2;60.38;2.44
26/02/2009;4.82;11.91;8.56;16.13;0;29.4;90.1;62.48;3.56
27/02/2009;6.72;13.88;10.07;15.33;0;17.2;84.7;43.33;3.3
28/02/2009;5.78;11.2;8.34;12.4;0;64.6;90.2;78.29;3.14
01/03/2009;7.75;11.68;8.9;8.33;0;63.2;92.3;81.58;2.61
02/03/2009;6.92;11.58;8.62;6.56;2.5;62.6;96.7;83.16;2.1
03/03/2009;3.24;11.19;6.86;15.96;0;50.2;92.4;73.64;2.24
04/03/2009;3.52;6.68;5.52;1.3;18.6;69.8;96.5;86.63;2.79
05/03/2009;1.97;5.57;3.41;14.57;0;51.4;89.7;68.52;7.65
06/03/2009;2.11;8.03;4.61;17.91;0;44.2;70.3;55.8;6.71
07/03/2009;3.05;11.34;6.42;18.38;0;29.9;55.3;42.18;6.05
08/03/2009;3.22;14.92;8.47;17.98;0;31.9;59.1;45.3;5.42
09/03/2009;5.9;9.88;8.19;19.18;0;31.5;77.4;47.1;6.93
10/03/2009;3.73;11.58;7.27;16.12;0;37.3;72.6;51.81;4.64
11/03/2009;6.15;12.45;8.67;16.25;0;39.5;71;54.18;5.91
12/03/2009;6.22;13.26;9.09;18.37;0;30.5;81.7;47.79;1.92
13/03/2009;5.31;19.24;11.98;18.29;0;23.5;77.7;39.88;3.96
14/03/2009;6.11;14.68;9.94;18.78;0;56;93;80.25;1.94
15/03/2009;6.56;14.36;10.51;15.59;0;55;95.3;74.84;1.55
