Time k_SoilToStem1 k_SoilToStem2 k_SoilToStem3 k_RSApo1 k_RSApo2 k_RSApo3 k_SLApo k_LSym k_SSym k_Plant C_LSym C_SSym C_LApo C_SApo PLC_Stem PLC_Leaf F_L_Cav F_S_Cav Delta_Q_LApo_mmol_diag Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_SApo_cav Psi_LApo_cav Psi_AllSoil Q_LApo_L Q_SApo_L Q_LSym_L Q_SSym_L gmin_S gmin gs_bound gs_lim gcanopy_bound gcanopy_lim gBL gCrown regulFact Eprime Emin Emin_S Elim Ebound transpiration_mm Emin_mm Emin_S_mm fluxSoilToStem1_mm fluxSoilToStem2_mm fluxSoilToStem3_mm leafTemperature leafVPD LAI LAIpheno canopyStorageCapacity pptSoil interceptedWaterAmount evaporationIntercepted ETPr LAIdead DFMC LFMCSymp LFMCApo LFMC FMCCanopy PsiSoil1 PsiSoil2 PsiSoil3 REW1 REW2 REW3 SWS1 SWS2 SWS3 kSoil1 kSoil2 kSoil3 Drainage_mm soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/00:00:00 0.98236640687423 0.359534632404831 0.207544250015856 0.982366456248973 0.359534653140136 0.207544261810936 3.0988571942644 1.55 0.26 0.619865527711842 579.46339891772 10243.0511403263 1e-05 2e-05 0.0357825032229247 0.0368647011484872 0 0 0 -0.0777697197414493 -0.0598141332787606 -0.113674797585163 -0.00551547272312617 -0.0598141332787606 -0.0777697197414493 -0.0330898960736902 1.02778097188867 15.9542891124856 0.476702145639486 8.49259753990414 1 3.86098782796533 17.1429776716324 17.1429776716324 12.3277044394218 12.3277044394218 1776.33240132583 45 1 0 0.012833733757225 0.00355138078316109 0.0445815377757982 0.0445815377757982 0.0237038344205325 0.0049897556848091 0.00138077684849303 0.00621040739830456 0.00227656161779813 0.00131401758087675 18.0599498476823 0.366338258584999 6 6 9 0 0 0 0 0 44.8483244061696 98.5247490160975 99.9631352988515 99.5028516883702 99.5028516883702 -0.0331224235801631 -0.0330390365011 -0.0330448546314753 0.986562114353564 0.986628340713505 0.986623724915658 91.6017895926017 91.6057234383822 47.1906859824191 19544456.7129337 6233963.03289332 3651849.82579562 0 0 0 0.459939941063012 0 18.75 0 0 1 78.7500008583333 0 
1990-01-01/01:00:00 0.982366220701114 0.359534564289846 0.207544210694961 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 579.767813022148 10239.6675503308 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.0731102999271543 -0.0572428208600046 -0.104833551372397 -0.0112337110827034 -0.0601329231329487 -0.0781650354534733 -0.0332286278096687 1.02778072317145 15.9542860906169 0.477255594308002 8.48627278603036 1 3.81826613263102 16.7048442302476 16.7048442302476 12.0994983178584 12.0994983178584 1776.33240132583 45 1 0 0.0103155367024098 0.00297969922325092 0.0355322323382979 0.0355322323382979 0.0189841196610271 0.00401068066989695 0.00115850705799996 0.0098284646618755 0.00361661420322108 0.00208693224766231 17.4497665083729 0.297496251983346 6 6 9 0 0 0 0 0 46.7611099735939 98.6391357283404 99.9631111083345 99.5394389867364 99.5394389867364 -0.0333299220382772 -0.0331157062752484 -0.0331307104278941 0.986396651985519 0.986567454952508 0.986555524515407 91.5919611279398 91.602106824179 47.1885990501715 19496314.4861345 6228288.31912086 3648127.33798179 0 0 0 0.385901363105215 0 18.125 0 0 1 81.4583342152778 0 
1990-01-01/02:00:00 0.982366220598234 0.359534564273796 0.207544210684741 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 580.294374513781 10236.9222924568 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.0646149041325062 -0.0521675337073324 -0.0895004615738588 -0.015867953800116 -0.0601329231329487 -0.0781650354534733 -0.0333642051654308 1.02778072317145 15.9542860906169 0.478216110783835 8.48114853759775 1 3.7758742378435 16.2528792585336 16.2528792585336 11.8606037910909 11.8606037910909 1776.33240132583 45 1 0 0.00800352889047653 0.00244623323033835 0.0273032411970717 0.0273032411970717 0.0146783676899943 0.00311177203261727 0.00095109547995555 0.00797418660799369 0.00295483009629847 0.00170422617583024 16.8373970798804 0.233202730558646 6 6 9 0 0 0 0 0 48.6296597649674 98.8376551719236 99.9631111083345 99.602965208683 99.602965208683 -0.0334974046582308 -0.0331782256709077 -0.0332006702880625 0.986262406419728 0.986517710338092 0.98649983084953 91.5839869413318 91.5991519940827 47.1868948239956 19457512.6671589 6223663.42528104 3645095.87718406 0 0 0 0.316812089856141 0 17.5 0 0 1 84.1666675722222 0 
1990-01-01/03:00:00 0.982366220519888 0.359534564261447 0.207544210676883 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 580.786162702442 10234.76929999 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.056603051986274 -0.0473341805882176 -0.0751339564006588 -0.0194991354154092 -0.0601329231329487 -0.0781650354534733 -0.0334674152576118 1.02778072317145 15.9542860906169 0.479116867136612 8.47713437031442 1 3.73381324579487 15.7907467618005 15.7907467618005 11.6125935832869 11.6125935832869 1776.33240132583 45 1 0 0.00588170895109539 0.00194913780660819 0.0198490700919592 0.0198490700919592 0.0107619516711489 0.00228680844018589 0.000757824779209264 0.00602200595606782 0.00225345368984451 0.00129881268888518 16.2229747744525 0.173155733938552 6 6 9 0 0 0 0 0 50.4467716967538 99.0238233995975 99.9631111083345 99.6625390415387 99.6625390415387 -0.0336233775917635 -0.0332258323571067 -0.0332538967054045 0.986161025848077 0.986479773407287 0.986457385990416 91.5779649353758 91.5968985403928 47.1855960113067 19428360.8118025 6220143.19875456 3642790.59552501 0 0 0 0.252433175328807 0 16.875 0 0 1 86.8750009291667 0 
1990-01-01/04:00:00 0.982366220464283 0.359534564252551 0.207544210671228 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 581.233869142484 10233.1343433237 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.0492459082777689 -0.0428583630217265 -0.0620162861878552 -0.0222546982539198 -0.0601329231329487 -0.0781650354534733 -0.033540747354437 1.02778072317145 15.9542860906169 0.479939989046765 8.47408873817841 1 3.6920914670098 15.321970068999 15.321970068999 11.3570623624743 11.3570623624743 1776.33240132583 45 1 0 0.00393896676273392 0.00148663715260187 0.0131357605114805 0.0131357605114805 0.00721665848914618 0.00153147027735095 0.000578004524931608 0.0042133262701425 0.00160101230191826 0.000921789536257282 15.6066317469084 0.117169543491563 6 6 9 0 0 0 0 0 52.2059971639308 99.1939461488849 99.9631111083345 99.7169783213106 99.7169783213106 -0.0337112582843853 -0.0332596174287437 -0.0332916249333781 0.986090094429387 0.986452820338231 0.986427262149362 91.5737516091056 91.5952975280909 47.1846742217705 19408040.8804603 6217645.78114188 3641157.12705038 0 0 0 0.192534635427399 0 16.25 0 0 1 89.5833342861111 0 
1990-01-01/05:00:00 0.98236622042948 0.359534564246832 0.2075442106676 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 581.639090556586 10231.9483234704 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.0425307551196154 -0.0387391259937222 -0.0501112159799147 -0.024252589178463 -0.0601329231329487 -0.0781650354534733 -0.0335868199580418 1.02778072317145 15.9542860906169 0.480687569707038 8.47188084001093 1 3.65071667604884 14.8498092848662 14.8498092848662 11.0955635014947 11.0955635014947 1776.33240132583 45 1 0 0.00216480473541785 0.00105702268263505 0.00712674946960276 0.00712674946960276 0.00402352669392052 0.00084167608113046 0.000410970419008507 0.00255552531270302 0.00100053255245269 0.000574891993491686 14.9884984482602 0.0650679468979472 6 6 9 0 0 0 0 0 53.9016666631872 99.3484560406411 99.9631111083345 99.7664214866726 99.7664214866726 -0.0337644586791821 -0.0332807149758948 -0.0333151349924742 0.986047072117726 0.986435976355866 0.986408474829313 91.5711960837929 91.5942969955385 47.184099329777 19395746.526826 6216086.5650145 3640139.48416835 0 0 0 0.136895190923653 0 15.625 0 0 1 92.2916676430555 0 
1990-01-01/06:00:00 0.982366220413618 0.359534564244023 0.207544210665827 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 582.004012155833 10231.1484387363 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.0364333525148938 -0.0349676010515364 -0.0393637740321916 -0.0255995328991587 -0.0601329231329487 -0.0781650354534733 -0.033608110604987 1.02778072317145 15.9542860906169 0.48136290387078 8.47039245746484 1 3.60969606699688 14.3772298900351 14.3772298900351 10.829588986175 10.829588986175 1776.33240132583 45 1 0 0.000549168894684849 0.000658651079698554 0.00178309256684969 0.00178309256684969 0.00116286679603143 0.000213516866253469 0.000256083539786798 0.00104477618965596 0.000450922682173886 0.000257478303854243 14.3687027285824 0.0166796081830537 6 6 9 0 0 0 0 0 55.5289007617118 99.4880340341395 99.9631111083345 99.8110864445921 99.8110864445921 -0.0337861864906363 -0.0332902192570703 -0.0333256595587154 0.986029483292984 0.98642838506492 0.986400060505658 91.5701513076033 91.5938460728563 47.1838418514731 19390726.7966336 6215384.23322067 3639683.98372587 0 0 0 0.0853020155467516 0 15 0 0 1 95.000001 0 
1990-01-01/07:00:00 0.982366220386331 0.359534564242754 0.207544210665034 0.982366270180987 0.359534585041425 0.207544222500409 3.09885644435837 1.55 0.26 0.619865450736889 581.886302606364 10230.4822371042 1e-05 2e-05 0.0358014372373714 0.0368888916655089 0 0 0 -0.0385103810936727 -0.0363481645371708 -0.0428332189804384 -0.0267210639772213 -0.0601329231329487 -0.0781650354534733 -0.0336392251692648 1.02778072317145 15.9542860906169 0.48114484898588 8.46915324630882 1 3.75755153584044 232.053374822375 232.053374822375 36.907814138571 36.907814138571 1776.33240132583 45 1 0 0.00848026208901278 0.00102132984818029 0.0904272001808157 0.0904272001808157 0.0388523143754818 0.00329712590020817 0.000397093044972495 0.00055548528519943 0.000275630114401639 0.000156235459748604 16.2255695976987 0.207231495852291 6 6 9 0 0 0 0.100062745902831 0 54.0452802166102 99.4429664736029 99.9631111083345 99.7966648252204 99.7966648252204 -0.0338339299997178 -0.0332960275973678 -0.0333320442796848 0.985990798132071 0.986423744827304 0.986394954771679 91.567853409045 91.5935704427419 47.1836856160134 19379699.6939657 6214955.04338106 3639407.67273852 0 0.00174241327305395 0.200125491805663 0.132272605744015 0.846983344482505 15.5709035061653 0.682747312240982 541.128247863822 1 92.5260857850493 0 
1990-01-01/08:00:00 0.982344870061145 0.359526750320461 0.207539700014249 0.982344920050975 0.359526771143119 0.207539711864948 3.09874922724557 1.55 0.26 0.619855771168454 576.274998772725 10227.5273745556 1e-05 2e-05 0.0379739961907975 0.04034750820756 0 0 0 -0.132173331252657 -0.0956361215792591 -0.205281788140737 -0.0316921994278649 -0.0956361215792591 -0.132173331252657 -0.0338879450291908 1.02774516305961 15.9539393502079 0.470984913308946 8.4636614711773 1 3.95610589921461 270.106997928725 270.106997928725 37.7537764445324 37.7537764445324 1776.33240132583 45 1 0 0.0204783757603816 0.00220057109861986 0.213044588493532 0.213044588493532 0.0916493105450648 0.00796199249563637 0.0008555820431434 0.0165827471711067 0.00615891461040126 0.00355197237924219 19.2970772568537 0.557997177851475 6 6 9 0 0 0 0.299778329192829 0 49.5183112537999 97.3431120430197 99.9596524917924 99.1223595481852 99.1223595481852 -0.0342425854325269 -0.0334255721630799 -0.0334768973443063 0.985657630327667 0.986320059396153 0.986278877242946 91.5480632414634 91.5874115281315 47.1801336436342 19285482.0725225 6205387.74086131 3633142.54320174 0 0.00320742041047065 0.399431166579995 0.28499634457764 1.63624617374468 17.1966991411009 1.31896652344602 1045.37949989244 1 85.4809713055764 0 
1990-01-01/09:00:00 0.982278723948121 0.359502541751628 0.207525725418916 0.982278774524214 0.359502562652622 0.207525737319669 3.09838322349563 1.55 0.26 0.619824427260564 566.605229433002 10220.1110470556 1e-05 2e-05 0.0447048711931942 0.0521540807861207 0 0 0 -0.286866651328316 -0.193978406397089 -0.472696863128857 -0.0441455423401877 -0.193978406397089 -0.286866651328316 -0.0346381391966272 1.02762377260299 15.9528651025576 0.454479940551788 8.4499108304689 1 4.15903059588602 291.695534048506 291.695534048506 38.1484103761838 38.1484103761838 1776.33240132583 45 1 0 0.0354342342141005 0.0044246664956372 0.355818064584996 0.355818064584996 0.153839204106593 0.0137768302624423 0.00172031033350374 0.0484997429126982 0.0179051455745726 0.0103304514289564 22.0943128922904 0.937714669492612 6 6 9 0 0 0 0.495040077232523 0 42.0959007708795 93.9318660201282 99.9478459192139 98.0227323515065 98.0227323515065 -0.0353505291559132 -0.0337995923584523 -0.0338949521527635 0.984735987204038 0.986018625968971 0.985941280791019 91.4933176399199 91.5695063825569 47.1698031922052 19031555.3432519 6177818.89395812 3615100.39485436 0 0.00624585863084751 0.59064898788505 0.573039325120025 2.31400153029082 19.6298742572618 1.86530034577345 1478.38986657469 1 74.9372123769591 0 
