Time k_SoilToStem1 k_SoilToStem2 k_SoilToStem3 k_RSApo1 k_RSApo2 k_RSApo3 k_SLApo k_LSym k_SSym k_Plant C_LSym C_SSym C_LApo C_SApo PLC_Stem PLC_Leaf F_L_Cav F_S_Cav Delta_Q_LApo_mmol_diag Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_SApo_cav Psi_LApo_cav Psi_AllSoil Q_LApo_L Q_SApo_L Q_LSym_L Q_SSym_L gmin_S gmin gs_bound gs_lim gcanopy_bound gcanopy_lim gBL gCrown regulFact Eprime Emin Emin_S Elim Ebound transpiration_mm Emin_mm Emin_S_mm fluxSoilToStem1_mm fluxSoilToStem2_mm fluxSoilToStem3_mm leafTemperature leafVPD LAI LAIpheno canopyStorageCapacity pptSoil interceptedWaterAmount evaporationIntercepted ETPr LAIdead DFMC LFMCSymp LFMCApo LFMC FMCCanopy PsiSoil1 PsiSoil2 PsiSoil3 REW1 REW2 REW3 SWS1 SWS2 SWS3 kSoil1 kSoil2 kSoil3 Drainage_mm soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/00:00:00 0.982289751249119 0.359506577346191 0.207528055008035 0.982289800638495 0.359506598081711 0.207528066803472 3.09861104102837 1.55 0.26 0.619836327312531 319.443488213396 5501.25168140643 1e-05 2e-05 0.0435828694401242 0.0448051281170223 0 0 0 -0.0798968576558883 -0.0614497527494249 -0.116774970919487 -0.0106417468139001 -0.0614497527494249 -0.0798968576558883 -0.0331193890786555 0.164926071538607 15.9530441740374 0.490964516183906 8.49237640849648 1 3.86098782796533 17.1429776716324 17.1429776716324 12.3277044394218 12.3277044394218 1776.33240132583 45 1 0 0.0128320589707247 0.00355138078316109 0.0445757199398478 0.0445757199398478 0.0237009212889236 0.00498910452781777 0.00138077684849303 0.00801958688045487 0.00294072629819516 0.00169733033812897 18.0599498476823 0.366290451891979 6 6 9 0 0 0 0 0 44.8483244061696 99.1847507442235 99.955194871883 99.3773617761383 99.3773617761383 -0.0331607086094483 -0.0330531286091062 -0.0330606393879581 0.986531656786524 0.986617159489929 0.986611198354963 91.5999804131196 91.6050592737018 47.1903026696619 19535568.3126372 6232919.75422892 3651165.25451722 0 0 0 0.459939941063012 0 18.75 0 0 1 78.7500008583333 0 
1990-01-01/01:00:00 0.982289745193821 0.359506575152974 0.207528053740975 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 319.555704724059 5499.76140087397 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.0735343699570073 -0.0579946574679617 -0.104599869743845 -0.0201715785594213 -0.0614590127767317 -0.0798968576558883 -0.0332628938400733 0.164926071538607 15.9530440774621 0.491384629713061 8.48671516694462 1 3.81826613263102 16.7048442302476 16.7048442302476 12.0994983178584 12.0994983178584 1776.33240132583 45 1 0 0.0103156572046019 0.00297969922325092 0.0355326474123761 0.0355326474123761 0.018984327893081 0.00401072752114924 0.00115850705799996 0.0101624175519254 0.00374249899806888 0.00215945188660499 17.4497665083729 0.297499727105568 6 6 9 0 0 0 0 0 46.7611099735939 99.2696221642547 99.955194871883 99.4410153411618 99.4410153411618 -0.0333750103163884 -0.0331324330640759 -0.0331494360185962 0.986360572315953 0.986554154456292 0.986540628031871 91.5898179955676 91.6013167747037 47.1881432177753 19485863.6390144 6227050.73085201 3647315.77115126 0 0 0 0.385901363105215 0 18.125 0 0 1 81.4583342152778 0 
1990-01-01/02:00:00 0.982289745087171 0.359506575136316 0.207528053730368 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 319.695070911208 5498.66428416834 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.0652927192256254 -0.0532069447320495 -0.0894534381048636 -0.0271800371998202 -0.0614590127767317 -0.0798968576558883 -0.0334033975417917 0.164926071538607 15.9530440774621 0.491907477630181 8.48255273826194 1 3.7758742378435 16.2528792585336 16.2528792585336 11.8606037910909 11.8606037910909 1776.33240132583 45 1 0 0.00800355202958959 0.00244623323033835 0.0273033201338499 0.0273033201338499 0.0146784073771008 0.00311178102910443 0.00095109547995555 0.00830261006160654 0.00307921031108068 0.00177585509056971 16.8373970798804 0.233203404751235 6 6 9 0 0 0 0 0 48.6296597649674 99.3752480060971 99.955194871883 99.5202347225435 99.5202347225435 -0.0335491590832383 -0.033197551571787 -0.0332222955434279 0.986220797735792 0.986502315898866 0.986482593551787 91.581515385506 91.5982375643927 47.1863673626847 19445532.5424539 6222234.2359638 3644159.15471519 0 0 0 0.316812089856141 0 17.5 0 0 1 84.1666675722222 0 
1990-01-01/03:00:00 0.982289745003723 0.359506575123149 0.207528053721991 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 319.82398419063 5497.89703062451 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.0575506310202733 -0.0486131410063546 -0.07541760212693 -0.0320776730993654 -0.0614590127767317 -0.0798968576558883 -0.0335132794150491 0.164926071538607 15.9530440774621 0.492392191624958 8.4796444519541 1 3.73381324579487 15.7907467618005 15.7907467618005 11.6125935832869 11.6125935832869 1776.33240132583 45 1 0 0.00588157580897281 0.00194913780660819 0.0198486207757239 0.0198486207757239 0.0107617252113393 0.00228675667452863 0.000757824779209264 0.00645466709170866 0.00241663513220357 0.0013928122668325 16.2229747744525 0.173151814410335 6 6 9 0 0 0 0 0 50.4467716967538 99.473170025244 99.955194871883 99.5936762369037 99.5936762369037 -0.0336839756740799 -0.0332485759229514 -0.0332793370011571 0.986112133306638 0.986461631805731 0.986437076811041 91.5750607184143 91.5958209292605 47.1849745504179 19414347.7308 6218461.9058406 3641689.08892788 0 0 0 0.252433175328807 0 16.875 0 0 1 86.8750009291667 0 
1990-01-01/04:00:00 0.982289744942166 0.359506575113301 0.207528053715731 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 319.942290074097 5497.40049231471 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.05034510245746 -0.0442573841748314 -0.0625150837902577 -0.0352456513663957 -0.0614590127767317 -0.0798968576558883 -0.0335944004522485 0.164926071538607 15.9530440774621 0.492837939835592 8.47776347731453 1 3.6920914670098 15.321970068999 15.321970068999 11.3570623624743 11.3570623624743 1776.33240132583 45 1 0 0.00393874349864484 0.00148663715260187 0.0131350159650597 0.0131350159650597 0.00721628220441992 0.00153138347227311 0.000578004524931608 0.00470683181689293 0.00178727235366497 0.00102907720679384 15.6066317469084 0.117162902449655 6 6 9 0 0 0 0 0 52.2059971639308 99.5632201688065 99.955194871883 99.6612138445756 99.6612138445756 -0.0337819745339418 -0.0332862657745695 -0.0333214243309264 0.986032893713761 0.986431543045569 0.986403446836963 91.5703538865974 91.5940336569068 47.1839454732111 19391699.8098003 6215676.37493101 3639867.27881151 0 0 0 0.192534635427399 0 16.25 0 0 1 89.5833342861111 0 
1990-01-01/05:00:00 0.982289744901081 0.359506575106575 0.207528053711462 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 320.050231377633 5497.12387470081 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.0436845976963999 -0.0401629012250289 -0.0507248348263812 -0.0370099653159589 -0.0614590127767317 -0.0798968576558883 -0.0336487041813016 0.164926071538607 15.9530440774621 0.493245406095197 8.47671599650725 1 3.65071667604884 14.8498092848662 14.8498092848662 11.0955635014947 11.0955635014947 1776.33240132583 45 1 0 0.0021645429172663 0.00105702268263505 0.00712588753857397 0.00712588753857397 0.0040230897802392 0.000841574286233136 0.000410970419008507 0.00306902076268804 0.00119499717334015 0.000686878300699188 14.9884984482602 0.065060077651284 6 6 9 0 0 0 0 0 53.9016666631872 99.6455365848883 99.955194871883 99.722951156637 99.722951156637 -0.0338457331128393 -0.0333114439096077 -0.0333494892007733 0.985981226697554 0.986411425248038 0.986380999833672 91.5672848658347 91.5928386597334 47.1832585949104 19376974.2135881 6213815.99469679 3638652.7799744 0 0 0 0.136895190923653 0 15.625 0 0 1 92.2916676430555 0 
1990-01-01/06:00:00 0.982289744879004 0.359506575102764 0.207528053709053 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 320.1481412463 5497.02378170123 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.0375686027805474 -0.0363446978397601 -0.0400153159072118 -0.0376482798981643 -0.0614590127767317 -0.0798968576558883 -0.0336781569987437 0.164926071538607 15.9530440774621 0.493615641803297 8.47633703936974 1 3.60969606699688 14.3772298900351 14.3772298900351 10.829588986175 10.829588986175 1776.33240132583 45 1 0 0.000548903981007288 0.000658651079698554 0.00178223242051969 0.00178223242051969 0.00116242937270049 0.000213413867815634 0.000256083539786798 0.0015472352512922 0.000642249769716164 0.000367615304107565 14.3687027285824 0.0166715623697394 6 6 9 0 0 0 0 0 55.5289007617118 99.7203316774337 99.955194871883 99.779047476046 99.779047476046 -0.0338778350569259 -0.0333249686441558 -0.0333645005272334 0.985955178966051 0.986400612962352 0.986368986261643 91.5657376305834 91.5921964099637 47.1828909796063 19369562.7560227 6212816.81868115 3638003.27742458 0 0 0 0.0853020155467516 0 15 0 0 1 95.000001 0 
1990-01-01/07:00:00 0.982289744844332 0.359506575100304 0.207528053707504 0.982289794691987 0.359506595905359 0.207528065547156 3.09861104102837 1.55 0.26 0.619836325811346 320.099214766733 5496.95879697282 1e-05 2e-05 0.0435834745483281 0.0448051281170223 0 0 0 -0.0406907317059464 -0.0383506751424489 -0.0453687479123792 -0.0380626743206807 -0.0614590127767317 -0.0798968576558883 -0.0337189498610805 0.164926071538607 15.9530440774621 0.493430555684633 8.47609102373638 1 3.75755153584044 193.481888764571 193.481888764571 35.7735390453915 35.7735390453915 1776.33240132583 45 1 0 0.00847903933409209 0.00102132984818029 0.0876354944588553 0.0876354944588553 0.0377664237836704 0.003296650493095 0.000397093044972495 0.00119725707503043 0.000518890210127983 0.000296310858288568 16.2785219330229 0.213433049048758 6 6 9 0 0 0 0.100062745902831 0 54.0452802166102 99.68294054235 99.955194871883 99.7510041247332 99.7510041247332 -0.0339387477853441 -0.0333358919444146 -0.0333765956689457 0.985905691776743 0.986391877436929 0.986359302900261 91.5627980915386 91.5916775197536 47.182594668748 19355504.7709369 6212009.9067967 3637480.00571398 0 0.00174228196983464 0.200125491805663 0.132272605744015 0.846983344482505 15.5709035061653 0.682747312240982 541.128247863822 1 92.5260857850493 0 
1990-01-01/08:00:00 0.982262635426226 0.359496653424045 0.207522326338533 0.982262685500985 0.359496674257972 0.207522338196635 3.09847644684798 1.55 0.26 0.619824096216921 318.485730821084 5495.64566965971 1e-05 2e-05 0.0463420673811772 0.0491468758717472 0 0 0 -0.141586270688926 -0.102392129629114 -0.219946866402611 -0.0464316423084657 -0.102392129629114 -0.141586270688926 -0.0340097411524748 0.164918907654812 15.952603806046 0.487410421008934 8.4711231988696 1 3.96644403142625 226.213275098943 226.213275098943 36.7568856168218 36.7568856168218 1776.33240132583 45 1 0 0.0212407619144366 0.00220057109861986 0.214626729194984 0.214626729194984 0.0925608625864861 0.00825840823233294 0.0008555820431434 0.0195553767412716 0.00725823615919515 0.00418609025308605 19.4498120858583 0.579101431213704 6 6 9 0 0 0 0.299778329192829 0 49.5183112537999 98.4667517189765 99.9508531241283 98.8377770702644 98.8377770702644 -0.0344070853444576 -0.0334883438576354 -0.0335470399932566 0.985522484364261 0.986269684908997 0.986222502565192 91.5400355712371 91.5844192835944 47.1784085784949 19247640.6399533 6200755.28613919 3630111.28301921 0 0.00320714356015759 0.399431166579995 0.28499634457764 1.63624617374468 17.1966991411009 1.31896652344602 1045.37949989244 1 85.4809713055764 0 
1990-01-01/09:00:00 0.982184468463701 0.359468045377423 0.207505812108786 0.982184519185015 0.359468066298976 0.207505824022883 3.09804753597707 1.55 0.26 0.619787197653801 315.775867785381 5492.14138339444 1e-05 2e-05 0.0542961608468511 0.0629827104171263 0 0 0 -0.307043207641029 -0.208047443932902 -0.504938435132182 -0.0687229619232329 -0.208047443932902 -0.307043207641029 -0.0348375943410588 0.164896078527812 15.9513343327288 0.477649180128159 8.45789685417411 1 4.17895849726179 244.256809276877 244.256809276877 37.2034444629932 37.2034444629932 1776.33240132583 45 1 0 0.0371756181986286 0.0044246664956372 0.362471606045805 0.362471606045805 0.15710315111974 0.0144538803556268 0.00172031033350374 0.0541210097264057 0.0199805972007697 0.0115277586327966 22.3614938041869 0.980551694720184 6 6 9 0 0 0 0.495040077232523 0 42.0959007708795 96.4947838642746 99.9370172895829 97.3553422206016 97.3553422206016 -0.0356218470064959 -0.0339047639652248 -0.0340123601070443 0.984506221536449 0.985933311218748 0.985845778426866 91.4796695592651 91.5644386863936 47.1668808198621 18969711.3918891 6170081.16148994 3610043.91615529 0 0.00624500224567279 0.59064898788505 0.573039325120025 2.31400153029082 19.6298742572618 1.86530034577345 1478.38986657469 1 74.9372123769591 0 
