Time K_SoilToStem1 K_SoilToStem2 K_SoilToStem3 K_RSApo1 K_RSApo2 K_RSApo3 K_SLApo K_LSym K_SSym K_Plant C_LSym C_SSym C_LApo C_SApo PLC_Stem PLC_Leaf F_L_Cav F_S_Cav Delta_Q_LApo_mmol_diag Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_SApo_cav Psi_LApo_cav Psi_AllSoil Q_LApo_L Q_SApo_L Q_LSym_L Q_SSym_L gmin_S gmin gs_bound gs_lim gcanopy_bound gcanopy_lim gBL gCrown regulFact Eprime Emin Emin_S Elim Ebound transpiration_mm Emin_mm Emin_S_mm fluxSoilToStem1_mm fluxSoilToStem2_mm fluxSoilToStem3_mm leafTemperature leafVPD LAI LAIpheno canopyStorageCapacity pptSoil interceptedWaterAmount evaporationIntercepted ETPr LAIdead DFMC LFMCSymp LFMCApo LFMC FMCCanopy PsiSoil1 PsiSoil2 PsiSoil3 REW1 REW2 REW3 SWS1 SWS2 SWS3 kSoil1 kSoil2 kSoil3 Drainage_mm soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/00:00:00 0.982309947759075 0.35951396903223 0.207532321918116 0.982309997147235 0.359513989768101 0.207532333713719 3.09868424615159 1.55 0.26 0.619844355095383 374.618041191699 5315.52484528675 1e-05 2e-05 0.0415277013513631 0.0424436725295008 0 0 0 -0.0800651749839646 -0.0615683095704525 -0.117044445904976 -0.010877583985821 -0.0615683095704525 -0.0800651749839646 -0.0331151022855063 0.49119143179319 15.9533721788643 0.595857351456834 8.49245456332834 1 3.96767401159153 17.1427678659486 17.1427678659486 12.3275959441904 12.3275959441904 1776.33240132583 45 1 0 0.0131556959578986 0.00355138078316109 0.0445701133460781 0.0445701133460781 0.0238245715058792 0.00511493458843099 0.00138077684849303 0.00775881593530665 0.00284493351386715 0.00164204743738844 18.0596525606416 0.366247604350258 6 6 9 0 0 0 0 0 44.8483244061696 99.2103482279111 99.9575563274705 99.5465918727129 99.5465918727129 -0.0331551928020971 -0.0330510964389839 -0.0330583632751911 0.986536046869776 0.986618772163066 0.986613004985706 91.6002411840647 91.6051550664861 47.1903579525626 19536848.7221121 6233070.19455769 3651263.96243457 0 0 0 0.459939941063012 0 18.75 0 0 1 78.7500008583333 0 
1990-01-01/01:00:00 0.982309913832276 0.359513956638623 0.207532314762788 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 374.730310868086 5314.18438201262 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0740961934933979 -0.0583775757951744 -0.105520085757756 -0.0207190299256315 -0.0616385595837361 -0.0800651749839646 -0.0332601679949874 0.49119143179319 15.9533716296564 0.596323682529078 8.48680553091049 1 3.95756078481865 16.7046184753756 16.7046184753756 12.0993798805263 12.0993798805263 1776.33240132583 45 1 0 0.0106589692307001 0.00297969922325092 0.035526010620026 0.035526010620026 0.0191152272239623 0.00414420723689622 0.00115850705799996 0.0102809721397423 0.00378548269685222 0.00218428104753076 17.449450709804 0.297446300603724 6 6 9 0 0 0 0 0 46.7611099735939 99.287992429084 99.9575563274705 99.5892961833579 99.5892961833579 -0.0333720200322898 -0.0331313152416607 -0.0331481852825564 0.986362966530723 0.986555043498136 0.986541623252127 91.589960211925 91.6013695837893 47.1881736715151 19486556.6332809 6227133.43176684 3647369.97438387 0 0 0 0.385901363105215 0 18.125 0 0 1 81.4583342152778 0 
1990-01-01/02:00:00 0.982309913723711 0.35951395662167 0.207532314751993 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 374.877323970186 5313.20178094222 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0658851023456744 -0.0536204132627332 -0.0904040693281893 -0.0279253743275398 -0.0616385595837361 -0.0800651749839646 -0.0334031842942401 0.49119143179319 15.9533716296564 0.596935560958571 8.48266996219441 1 3.94743942219339 16.2526550553067 16.2526550553067 11.8604843932546 11.8604843932546 1776.33240132583 45 1 0 0.00833540738086905 0.00244623323033835 0.0272971694638742 0.0272971694638742 0.0148050413571917 0.00324080638968189 0.00095109547995555 0.00845848396051218 0.00313611734148879 0.00180871099389592 16.8370917999893 0.233152637939327 6 6 9 0 0 0 0 0 48.6296597649674 99.3898702894724 99.9575563274705 99.6453290065715 99.6453290065715 -0.033549444868791 -0.0331976381560084 -0.0332223939995263 0.986220567810849 0.986502246909895 0.986482515049712 91.5815017279645 91.5982334664478 47.1863649605212 19445466.4020921 6222227.83336534 3644154.89033487 0 0 0 0.316812089856141 0 17.5 0 0 1 84.1666675722222 0 
1990-01-01/03:00:00 0.982309913638323 0.359513956608203 0.207532314743425 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 375.01412221253 5312.51977207554 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0581180387772057 -0.0490169421766067 -0.0763125062855782 -0.0329233496433073 -0.0616385595837361 -0.0800651749839646 -0.0335156062940878 0.49119143179319 15.9533716296564 0.597506186689117 8.47980217909726 1 3.93731056881832 15.7905456647421 15.7905456647421 11.6124848255161 11.6124848255161 1776.33240132583 45 1 0 0.00617418418904067 0.00194913780660819 0.0198434386577064 0.0198434386577064 0.0108734765420245 0.00240052281269901 0.000757824779209264 0.00661078195229823 0.00247392057129909 0.00142587485264071 16.2227057030882 0.173107816434289 6 6 9 0 0 0 0 0 50.4467716967538 99.4848795686176 99.9575563274705 99.6975841101014 99.6975841101014 -0.0336875149747624 -0.0332498710219099 -0.0332807882568193 0.98610927518539 0.986460598415429 0.986435917832305 91.5748909460121 91.5957595458765 47.1849390856685 19413529.4844034 6218366.17596308 3641626.25939981 0 0 0 0.252433175328807 0 16.875 0 0 1 86.8750009291667 0 
1990-01-01/04:00:00 0.982309913574942 0.35951395659807 0.207532314736984 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 375.140182935356 5312.0837242345 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0508544956865203 -0.0446266668360149 -0.0633048667363317 -0.0361171978423512 -0.0616385595837361 -0.0800651749839646 -0.0335991101007914 0.49119143179319 15.9533716296564 0.598033104500878 8.47796977707213 1 3.92717652720133 15.3218114092607 15.3218114092607 11.3569751917411 11.3569751917411 1776.33240132583 45 1 0 0.00416772114057259 0.00148663715260187 0.0131310887426295 0.0131310887426295 0.00730378180752059 0.00162040997945462 0.000578004524931608 0.00485230489857186 0.0018409410323489 0.00106004062728976 15.6064214592839 0.117128504217428 6 6 9 0 0 0 0 0 52.2059971639308 99.5726114720076 99.9575563274705 99.7458366569659 99.7458366569659 -0.033788528807423 -0.0332886906391272 -0.0333241394400671 0.986027586550733 0.986429606142157 0.98640127598174 91.5700386411136 91.5939186048441 47.1838790450413 19390185.7067871 6215497.18904627 3639749.77177075 0 0 0 0.192534635427399 0 16.25 0 0 1 89.5833342861111 0 
1990-01-01/05:00:00 0.982309913532255 0.359513956591093 0.207532314732555 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 375.25568194743 5311.84685970302 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0441087635311156 -0.0404774398163859 -0.0513683284145837 -0.0378515825739411 -0.0616385595837361 -0.0800651749839646 -0.0336555076937399 0.49119143179319 15.9533716296564 0.598516789485387 8.47697477398964 1 3.9170395542978 14.8497095469154 14.8497095469154 11.0955078190681 11.0955078190681 1776.33240132583 45 1 0 0.00230870844780189 0.00105702268263505 0.00712337925577195 0.00712337925577195 0.00407816611815801 0.000897625844505374 0.000410970419008507 0.00319555307799229 0.00124198335066317 0.000713973913719842 14.9883665926586 0.0650373620350956 6 6 9 0 0 0 0 0 53.9016666631872 99.653145102462 99.9575563274705 99.7901301537158 99.7901301537158 -0.0338549019373992 -0.0333148566470681 -0.0333533087709881 0.985973789360868 0.98640869733154 0.9863779435009 91.5668430880356 91.5926766214935 47.1831650711275 19374857.194789 6213563.85972315 3638487.5095774 0 0 0 0.136895190923653 0 15.625 0 0 1 92.2916676430555 0 
1990-01-01/06:00:00 0.982309913508879 0.359513956587076 0.207532314730014 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 375.360904890028 5311.76936033519 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0378851156199938 -0.0365880396979321 -0.040478166400039 -0.0384189712287249 -0.0616385595837361 -0.0800651749839646 -0.0336866597642762 0.49119143179319 15.9533716296564 0.598958203656561 8.47664927714654 1 3.90690184700589 14.3772023624362 14.3772023624362 10.8295733675768 10.8295733675768 1776.33240132583 45 1 0 0.000590065704195502 0.000658651079698554 0.00178120892086008 0.00178120892086008 0.00117803511400841 0.000229417545791211 0.000256083539786798 0.00164813854765083 0.000680064634692678 0.000389408043950251 14.3686662090192 0.0166619789165675 6 6 9 0 0 0 0 0 55.5289007617118 99.726640635458 99.9575563274705 99.8305526968636 99.8305526968636 -0.0338890879705911 -0.0333291761962593 -0.0333692081223179 0.985946042920672 0.986397248431966 0.986365217747829 91.5651949494879 91.5919965568588 47.1827756630836 19366965.2055772 6212505.99578042 3637799.60708097 0 0 0 0.0853020155467516 0 15 0 0 1 95.000001 0 
1990-01-01/07:00:00 0.982309913473507 0.359513956584502 0.207532314728393 0.982309963330407 0.359513977391537 0.207532326569248 3.09868424615159 1.55 0.26 0.619844346558521 375.312888930613 5311.72478068307 1e-05 2e-05 0.0415311425037584 0.0424436725295008 0 0 0 -0.0407821952548955 -0.0384475611869293 -0.0454494815920152 -0.0387453295811292 -0.0616385595837361 -0.0800651749839646 -0.0337283664393211 0.49119143179319 15.9533716296564 0.598756684509303 8.47646205558013 1 3.94303407723322 174.191970681015 174.191970681015 35.0557722267053 35.0557722267053 1776.33240132583 45 1 0 0.00886085075310704 0.00102132984818029 0.0858555284002879 0.0858555284002879 0.0372228212598124 0.00344509877280802 0.000397093044972495 0.00124496719859635 0.000537379447042856 0.000306941696230241 16.3059062787362 0.216664448963536 6 6 9 0 0 0 0.100062745902831 0 54.0452802166102 99.6930876638866 99.9575563274705 99.8120985624994 99.8120985624994 -0.0339509693835501 -0.0333404873459313 -0.0333817355070888 0.985895752802421 0.986388201639928 0.986355186973443 91.5622077164638 91.5914591774117 47.1824687213874 19352684.9644433 6211670.46159971 3637257.65588146 0 0.00174226582552354 0.200125491805663 0.132272605744015 0.846983344482505 15.5709035061653 0.682747312240982 541.128247863822 1 92.5260857850493 0 
1990-01-01/08:00:00 0.982290084126083 0.359506699328146 0.207528125417222 0.982290134206451 0.359506720163688 0.207528137276273 3.09858684873558 1.55 0.26 0.619835443466651 373.626577410585 5310.58134455413 1e-05 2e-05 0.0435489260379298 0.045585524658643 0 0 0 -0.140610778507272 -0.101860306525155 -0.218099866459652 -0.0471116087013299 -0.101860306525155 -0.140610778507272 -0.0340134166267432 0.491175992731827 15.9530495914043 0.591774174595443 8.47166311988049 1 3.99352905590052 204.115633809491 204.115633809491 36.1214731624077 36.1214731624077 1776.33240132583 45 1 0 0.0217573271156519 0.00220057109861986 0.214702065028986 0.214702065028986 0.0927909937089786 0.00845924878256547 0.0008555820431434 0.0191603287472884 0.00711434533290654 0.00410299930953054 19.5307115909929 0.5905117942097 6 6 9 0 0 0 0.299778329192829 0 49.5183112537999 98.5304986006399 99.9544144753414 99.1712607442556 99.1712607442556 -0.034411078291882 -0.0334899043335696 -0.0335487808584907 0.985519196573868 0.986268431516478 0.986221102028687 91.5398402764878 91.5843448320788 47.1783657220778 19246722.7117452 6200640.15408123 3630036.07134156 0 0.00320711122875129 0.399431166579995 0.28499634457764 1.63624617374468 17.1966991411009 1.31896652344602 1045.37949989244 1 85.4809713055764 0 
1990-01-01/09:00:00 0.982233124372518 0.359485852871191 0.20751609162741 0.982233175096392 0.359485873794446 0.20751610354245 3.09828171893681 1.55 0.26 0.619808853561721 370.758197737966 5307.46989659989 1e-05 2e-05 0.0493450043039957 0.0554284213931454 0 0 0 -0.306374115809819 -0.207800540428683 -0.503467889924252 -0.0698329180502115 -0.207800540428683 -0.306374115809819 -0.0348344557615752 0.491127624737274 15.9521245373131 0.580303037262727 8.45863529260719 1 4.04273567513786 220.361568502229 220.361568502229 36.5989659850735 36.5989659850735 1776.33240132583 45 1 0 0.0369142239161645 0.0044246664956372 0.364968487885858 0.364968487885858 0.15797230868213 0.0143522502586048 0.00172031033350374 0.0537070314586707 0.0198290132868384 0.0114402581421715 22.5054635597955 1.0042593214695 6 6 9 0 0 0 0.495040077232523 0 42.0959007708795 96.6205523247964 99.9445715786069 98.1163609890111 98.1163609890111 -0.0356175140620514 -0.0339031654513282 -0.034010569298584 0.984509903427901 0.985934609743973 0.985847237383518 91.4798882636173 91.564515818792 47.1669254639356 18970697.9897227 6170198.72066433 3610121.00722355 0 0.00624498141179156 0.59064898788505 0.573039325120025 2.31400153029082 19.6298742572618 1.86530034577345 1478.38986657469 1 74.9372123769591 0 
