Time PLC_Trunk PLC_Leaf Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm LAI SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
2010-01-01/00:00:00 0.0394032067213844 0.0395096302281548 -0.0193340295249831 -0.0170473276335902 -0.0239058418521724 -0.00127787660776036 -0.0151339067630544 0.00127483057914561 2.5 24.9982582653015 72.8515042145069 108.000175572276 0 0 0.089684156836665 0 5.38301597444089 0 0 5.81 89.9911829964969 7.1 
2010-01-01/01:00:00 0.039404656452604 0.0395108397403159 -0.0189381080736446 -0.0168872359157821 -0.0230382317545953 -0.00256362672525158 -0.0151891107537082 0.0010965147188861 2.5 24.9963454910923 72.8528000569643 108.000331206688 0 0 0.0806132449757056 0 5.21145047923323 0 0 5.81 90.8953363662413 0 
2010-01-01/02:00:00 0.039404656452604 0.0395108397403159 -0.0182769826319892 -0.0165473776370158 -0.0217348258578323 -0.00371811952682822 -0.0152410224824702 0.000924184684024038 2.5 24.9944831386274 72.8541340831282 108.000490544438 0 0 0.0717439921643318 0 5.03988498402556 0 0 5.81 91.7994897359856 0 
2010-01-01/03:00:00 0.039404656452604 0.0395108397403159 -0.0176172194256926 -0.0161993079191693 -0.020451921980076 -0.00474857633851793 -0.0152850117399883 0.000757626936127025 2.5 24.9926726764436 72.8555106369945 108.000654003199 0 0 0.0630732963122413 0 4.86831948881789 0 0 5.81 92.70364310573 0 
2010-01-01/04:00:00 0.039404656452604 0.0395108397403159 -0.0169652628429911 -0.0158483956176933 -0.0191981147251859 -0.00566382508431499 -0.0153237158541939 0.000596688984974338 2.5 24.9909130548874 72.8569302406773 108.000821634477 0 0 0.0545980921504018 0 4.69675399361022 0 0 5.81 93.6077964754743 0 
2010-01-01/05:00:00 0.039404656452604 0.0395108397403159 -0.0163228188019389 -0.0154965877286233 -0.0179746280457561 -0.00647225621848116 -0.0153584827110561 0.000441222599600538 2.5 24.989203364484 72.8583930815698 108.000993457712 0 0 0.0463153508940752 0 4.52518849840256 0 0 5.81 94.5119498452187 0 
2010-01-01/06:00:00 0.039404656452604 0.0395108397403159 -0.015690991191497 -0.0151452553551263 -0.0167820316134911 -0.00718177574078929 -0.0153901212322051 0.000291082932588077 2.5 24.9875427669168 72.8598991510853 108.001169473572 0 0 0.0382220799080529 0 4.35362300319489 0 0 5.81 95.416103214963 0 
2010-01-01/07:00:00 0.039404656452604 0.0395108397403159 -0.0150705817956751 -0.0147954673260929 -0.015620593333662 -0.00779981171569027 -0.0154191672038127 0.000146128427203759 2.5 24.985930448144 72.8614482933886 108.001349668607 0 0 0.0303153223740948 0 4.18205750798722 0 0 5.81 96.3202565847074 0 
2010-01-01/08:00:00 0.039404656452604 0.0395108397403159 -0.0152384825240804 -0.0149438731339184 -0.0158274684998161 -0.00836273477116062 -0.0154590237337749 0.00127946639715572 2.5 24.9836398003098 72.8630093694816 108.001531060153 0.000699298056821004 0.00491193375942498 0.0335421217570419 0.0464502648916186 4.25256025978049 0.0226483238968253 29.6765581252008 5.81 95.9487057636464 0 
2010-01-01/09:00:00 0.0396615637303291 0.0398839578024234 -0.0273285060371219 -0.0225879491981806 -0.0368093806903299 -0.00929731512062935 -0.0155128365781627 0.00373822483591295 2.5 24.9803104940037 72.8639314551796 108.001651266375 0.00116297649671361 0.0124536907753712 0.0752695907482658 0.114533863617713 5.10854796430187 0.0558446770200621 73.1744128668719 5.81 91.4376345452413 0 
2010-01-01/10:00:00 0.0403981598775032 0.0410617196047289 -0.0520012945394071 -0.0381888428765451 -0.0796250444461468 -0.0111157938840371 -0.0156025064801872 0.00932530489881989 2.5 24.9744747338596 72.8634034190462 108.001632527663 0.00235496575064881 0.0185627390220579 0.153126473317584 0.16353165750642 6.4875645375191 0.0797351307948815 104.478558962435 5.81 84.1701914029099 0 
2010-01-01/11:00:00 0.0416340989473459 0.0430589990828257 -0.0922681904305377 -0.0637376953012015 -0.149321578361396 -0.0145172519666338 -0.0157445517641135 0.0174037384808516 2.5 24.964515321263 72.8601865205706 108.001356073816 0.00403553026101364 0.0225379925246711 0.252572581210714 0.190104527876908 7.96192780233187 0.0926915902773711 121.455670588025 5.81 76.400269411928 0 
