Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm LAI SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
2010-01-01/00:00:00 0.0399064917549133 0.0400697946327293 -0.0312695870332603 -0.0278073651532329 -0.0381915658635364 -0.00204850154386263 -0.0252246992843161 0.00191671788452425 2.5 23.5651509230258 72.000611852426 108.000058645037 0 0 0.125700592902232 0 4.13182375335463 0 0 6.2 84.6881798057861 3.72 
2010-01-01/01:00:00 0.0399095778274683 0.0400724412629163 -0.0309693784034404 -0.0277345313300588 -0.0374364799847743 -0.00411701580575147 -0.0252280724178553 0.00173724308628551 2.5 23.5641970921057 72.0008881765816 108.00008514902 0 0 0.116381559940757 0 3.95583672460064 0 0 6.2 85.646646274009 0 
2010-01-01/02:00:00 0.0399095778274683 0.0400724412629163 -0.030367742843634 -0.0274558093018484 -0.0361892761604074 -0.00600323856421764 -0.0252318799196415 0.00156371597607953 2.5 23.5632726165354 72.0011951377814 108.000114598794 0 0 0.107270985839247 0 3.77984969584665 0 0 6.2 86.6051127422319 0 
2010-01-01/03:00:00 0.0399095778274683 0.0400724412629163 -0.0297667910994031 -0.0271683592182188 -0.0349615723505201 -0.00771779165132581 -0.0252354787256927 0.00139592208533033 2.5 23.5623817819245 72.0015374251575 108.000147444866 0 0 0.0983655819391779 0 3.60386266709265 0 0 6.2 87.5635792104548 0 
2010-01-01/04:00:00 0.0399095778274683 0.0400724412629163 -0.029171472130977 -0.0268759437732849 -0.0337606890967933 -0.00927274824731316 -0.0252388644209133 0.00123370806554862 2.5 23.5615252174073 72.0019157519179 108.000183756814 0 0 0.0896620998657734 0 3.42787563833866 0 0 6.2 88.5220456786777 0 
2010-01-01/05:00:00 0.0399095778274683 0.0400724412629163 -0.0285826868914405 -0.0265797310801353 -0.0325869932464191 -0.0106794392268052 -0.0252420340333721 0.00107692483285965 2.5 23.5607033717676 72.0023306355232 108.000223585483 0 0 0.0811573311460725 0 3.25188860958466 0 0 6.2 89.4805121469006 0 
2010-01-01/06:00:00 0.0399095778274683 0.0400724412629163 -0.0280011981684708 -0.0262807639149997 -0.0314406878343655 -0.0119484713688237 -0.0252449853886262 0.000925426780673809 2.5 23.5599165690489 72.0027824580575 108.000266968761 0 0 0.0728481068295993 0 3.07590158083067 0 0 6.2 90.4389786151235 0 
2010-01-01/07:00:00 0.0399095778274683 0.0400724412629163 -0.0274276885945827 -0.025979998646353 -0.0303219082406123 -0.0130897712904218 -0.0252477170367236 0.000779071711699621 2.5 23.5591650194197 72.0032714779462 108.000313932696 0 0 0.0647312971116342 0 2.89991455207668 0 0 6.2 91.3974450833464 0 
2010-01-01/08:00:00 0.0399095778274683 0.0400724412629163 -0.0276408451160227 -0.0261731929843987 -0.0305749731319745 -0.0141422941992204 -0.0252567837350781 0.00412585576922557 2.5 23.5570196242056 72.0037670725377 108.000361543914 0.00140186051668878 0.0215934499410302 0.0680437115968549 0.144498320173436 2.9722342792576 0.103979240998557 92.3183712219176 6.2 91.0035749556176 0 
2010-01-01/09:00:00 0.0406627683012089 0.0412279247051989 -0.0554260255573034 -0.0437238435870335 -0.0788270863834461 -0.0160545810711972 -0.0252748082989883 0.00991172901436805 2.5 23.5529985899268 72.002706725788 108.000260056271 0.00185032612832161 0.0548637741532336 0.110892360572569 0.356294004659576 3.85028223748094 0.256384850234747 227.632280754729 6.2 86.2215206678265 0 
