Name;Value;Value;Value;;;Unit;;;Name_2;Value_2
P50_VC_Leaf;  -4.84; -6.66; -5.22;;;Mpa;;;P50_VC_Leaf;-3.4
slope_VC_Leaf;41.5;29.5;37.5;;;%/Mpa;;;slope_VC_Leaf;60
epsilonSym_Leaf;5.98;12;11.4;;;Mpa;;;epsilonSym_Leaf;10
PiFullTurgor_Leaf; -1.7; -2.8; -2.9;;;Mpa;;;PiFullTurgor_Leaf;-2.1
apoFrac_Leaf;0.68;0.45;0.25;;;-;;;apoFrac_Leaf;0.4
P50_VC_Stem;  -4.84; -6.66; -5.22;;;Mpa;;;P50_VC_Stem;-3.4
slope_VC_Stem;41.5;29.5;37.5;;;%/Mpa;;;slope_VC_Stem;60
epsilonSym_Stem;5.98;12;11.4;;;Mpa/%;;;epsilonSym_Stem;10
PiFullTurgor_Stem; -1.7; -2.8; -2.9;;;Mpa;;;PiFullTurgor_Stem;-2.1
apoFrac_Stem;0.4;0.4;0.4;;;-;;;apoFrac_Stem;0.4
symFrac_Stem;0.2;0.2;0.2;;;-;;;symFrac_Stem;0.2
LDMC;500;500;500;;;fraction;;;LDMC;570
Succulence;100;100;100;;;g/m2;;;;
LMA;252;182;110;;;g/m2;;;LMA;106
K_PlantInit;0.62;0.62;0.62;;;mmol/m2/s/Mpa;;;K_PlantInit;0.62
K_SSymInit;0.26;0.26;0.26;;;mmol/m2/s/Mpa;;;K_SSymInit;0.26
vol_Stem;18.2;18.2;18.2;;;(mm or sapwood litre/m2 of soil);;;vol_Stem;5
fRootToLeaf;1;1;1;;;-;;;fRootToLeaf;1
rootRadius;0.0002;0.0002;0.0002;;;m;;;rootRadius;0.0002
betaRootProfile;0.97;0.97;0.97;;;-;;;betaRootProfile;0.97
C_LApoInit; 0.00001; 0.00001; 0.00001;;;mmol/m2 leaf/Mpa;;;C_LApoInit;1,00E-05
C_SApoInit; 0.00002; 0.00002; 0.00002;;;mmol/m2 leaf/Mpa;;;C_SApoInit;2,00E-05
gCrown0;45;45;45;;;mmol/m2/s;;;gCrown0;45
gsMax;300;225;250;;;mmol/m2/s;;;gsMax;200
gsNight;20;20;20;;;mmol/m2/s;;;gsNight;20
JarvisPAR;0.006;0.006;0.006;;;-;;;JarvisPAR;0.006
Tgs_sens;17;17;17;;;-;;;Tgs_sens;17
Tgs_optim;25;25;25;;;-;;;Tgs_optim;25
P12_gs; -1.5; -1.5; -1.5;;;Mpa;;;P12_gs;-2.07
P88_gs; -2.5; -2.9; -2.9;;;Mpa;;;P88_gs;-2.62
turgorPressureAtGsMax;1;1;1;;;Mpa;;;turgorPressureAtGsMax;2
gmin20;4;4;4;;;mmol/m2/s;;;gmin20;4
TPhase_gmin;40;45.839556;40;;;¡C;;;TPhase_gmin;37.5
Q10_1_gmin;1.2;1.04270568062456;1.2;;;mmol/m2/s /10¡C;;;Q10_1_gmin;1.2
Q10_2_gmin;4.8;1.64129642314098;4.8;;;mmol/m2/s /10¡C;;;Q10_2_gmin;4.8
fTRBToLeaf;0.8;0.8;0.8;;;m2 wood exposed/m2leaf;;;fTRBToLeaf;0.8
gmin_S;1;1;1;;;mmol/m2/s;;;gmin_S;3
Foliage;Evergreen;Evergreen;Evergreen;;;-;;;Foliage;Evergreen
dayStart;55;55;55;;;doy;;;Fcrit;450
Tbase;3;3;3;;;¡C;;;Tbase;3
Fcrit;450;450;450;;;¡C;;;DayStart;55
nbdayLAI;21;21;21;;;;;;nbdayLAI;21
PTcoeff;1.14;1.14;1.14;;;-;;;PTcoeff;1.14
canopyStorageParam;1.5;1.5;1.5;;;mm/m2 leaf;;;canopyStorageParam;1.5
K;0.5;0.5;0.5;;;-;;;K;0.5
Species;Pinus halepensis;Quercus ilex;Quercus pubescens;;;;;;;
