DATE;Tair_min;Tair_max;Tair_mean;RG_sum;PPT_sum;RHair_min;RHair_mean;RHair_max;WS_mean
01/01/1999;6.69960479;5.550832117;6.125218454;0.602;22.4;96.6;99.8;100;2.3
02/01/1999;5.12415182;7.44741092;6.28578137;2.337;1.2;73.5;92.5;100;1.4
03/01/1999;5.19917339;10.44200903;7.82059121;2.798;0.5;62.7;73.1;83.5;3.4
04/01/1999;7.44982049;18.32778405;12.88880227;6.552;0;51.6;71;90.4;2.6
05/01/1999;3.99882827;9.343989723;6.671408997;1.204;0;94.2;97.1;100;1.6
06/01/1999;9.70046759;10.44200903;10.07123831;2.172;0;86.4;94.7;100;2
07/01/1999;9.47540288;13.43660714;11.45600501;6.363;0;59.4;83.5;100;1.9
08/01/1999;11.57600684;11.4402084;11.50810762;2.774;0;56.6;69.4;82.2;4.4
09/01/1999;5.27419496;9.843089408;7.558642184;4.462;0;48.4;65;81.6;2.7
10/01/1999;3.62372042;1.857494448;2.740607434;0.437;31.5;76;90.7;100;4.3
11/01/1999;3.77376356;2.156954259;2.96535891;5.43;0;63.8;71.2;78.6;6.4
12/01/1999;0.62285762;3.45461344;2.03873553;7.968;0;50.7;64.2;77.7;3.7
13/01/1999;0.69787919;6.149751739;3.423815465;7.862;0;58.1;66.9;75.7;2.9
14/01/1999;1.74818117;11.4402084;6.594194785;5.194;0;60.5;73;85.5;4.4
15/01/1999;-1.62778948;11.73966821;5.055939366;8.145;0;36.2;61.1;86;1.7
16/01/1999;-1.10263849;8.844890038;3.871125774;2.196;0;79.7;87.1;94.5;4.5
17/01/1999;9.85051073;12.63804764;11.24427919;3.754;6;74.4;89.1;100;5.1
18/01/1999;6.1744538;5.051732432;5.613093116;1.251;9;81.1;90.3;99.5;5.1
19/01/1999;0.69787919;10.94110872;5.819493953;8.122;0;67.3;87.5;100;1.7
20/01/1999;0.24774977;8.745070101;4.496409936;5.761;1;92.3;100.8;100;2.7
21/01/1999;2.27333216;8.44561029;5.359471225;2.432;0;89.3;96.1;100;4.1
22/01/1999;3.39865571;9.942909345;6.670782528;4.627;0;75.7;91.2;100;1.3
23/01/1999;1.44809489;9.44380966;5.445952275;7.083;0;70.9;90;100;0.7
24/01/1999;-0.50246593;9.643449534;4.570491802;8.735;0;64.3;89.8;100;1
25/01/1999;-0.1939746;12.82542384;6.31572462;7.791;0;61.5;81.9;100;3.4
26/01/1999;3.184725525;11.82482375;7.504774638;5.312;0;61.7;75.2;88.7;3.4
27/01/1999;5.8126034;9.82362357;7.818113485;5.241;1;36.4;59.2;82;5.5
28/01/1999;6.188014525;11.82482375;9.006419138;6.752;0;61.8;67.6;73.4;6.7
29/01/1999;5.06178115;10.82422366;7.943002405;8.806;0;33;45.7;58.4;6.8
30/01/1999;2.05849215;7.82242339;4.94045777;9.16;0;5.4;17.8;30.2;6.6
31/01/1999;-3.1972636;3.82002303;0.311379715;8.653;0;19.5;30.6;41.7;4.5
01/02/1999;-6.20410525;3.354793503;-1.424655874;10.058;0;20.5;34.3;48.1;4.6
02/02/1999;-7.92960136;7.846690668;-0.041455346;9.881;0;43;58.2;73.4;5.8
03/02/1999;-0.5774875;5.650652054;2.536582277;4.686;0;47.9;58.2;68.5;5.4
04/02/1999;4.52397926;7.846690668;6.185334964;9.302;0;42;50.5;59;7.1
05/02/1999;6.02441066;8.046330542;7.035370601;5.147;0;49.8;60.7;71.6;9.1
06/02/1999;6.47454008;5.650652054;6.062596067;2.326;0;43.2;53.8;64.4;6.6
07/02/1999;6.09943223;7.44741092;6.773421575;5.513;0;45.3;63.5;81.7;5.9
08/02/1999;-1.17766006;5.550832117;2.186586029;6.646;0;34.7;53.3;71.9;3.6
09/02/1999;4.29891455;7.547230857;5.923072704;4.781;1.5;44.5;72;99.5;4.8
10/02/1999;1.74818117;1.558034637;1.653107904;12.23;0;32.8;43.6;54.4;8.4
11/02/1999;1.07298704;1.957314385;1.515150713;9.963;0;25;41.9;58.8;8.3
