Name;Value
Foliage;Evergreen
P50_VC_Leaf;-7
slope_VC_Leaf;30
P50_VC_Trunk;-7
slope_VC_Trunk;30
P12_gs;-2.0
P88_gs;-3.5
EpsilonSymp_Leaf;10
PiFullTurgor_Leaf;-2.1
ApoplasmicFrac_Leaf;0.4
LDMC;570
LMA;106
kPlantInit;1
k_TSymInit;0.26
CanopyStorageParam;1.5
K;0.5
PTcoeff;1.14
gmin20;3
TPhase_gmin;37.5
Q10_1_gmin;1.2
Q10_2_gmin;4.8
gmin_T;3
gCrown0;45
gsMax;200
gsNight;20
JarvisPAR;0.006
Tgs_sens;17
Tgs_optim;25
fRootToLeaf;1
rootRadius;0.0002
betaRootProfile;0.97
PiFullTurgor_Trunk;-2.1
EpsilonSymp_Trunk;10
ApoplasmicFrac_Trunk;0.4
SymplasmicFrac_Trunk;0.2
VolumeLiving_TRB;20
fTRBToLeaf;0.8
C_LApoInit;0.00001
C_TApoInit;0.00002
