DATE;Tair_min;Tair_max;Tair_mean;RG_sum;RHair_min;RHair_max;RHair_mean;WS_mean;PPT_sum
01/01/1990;-4.4;-2.1;-3.25;1.95;96.9151449;96.9151449;96.9151449;0.3;0
02/01/1990;-3.9;0;-1.95;3.22;96.9151449;96.9151449;96.9151449;0.4;0
03/01/1990;-1.9;0.5;-0.7;1.03;96.9151449;96.9151449;96.9151449;1.5;0
04/01/1990;-2;-0.4;-1.2;1.13;96.9151449;96.9151449;96.9151449;1.2;0
05/01/1990;-0.7;2.8;1.05;1.14;96.537691;96.537691;96.537691;1.4;0.4
06/01/1990;1.1;3.4;2.25;0.96;96.9151449;96.9151449;96.9151449;0.8;0.2
07/01/1990;-0.6;0.7;0.05;1.38;96.9151449;96.9151449;96.9151449;1;0
08/01/1990;-0.5;3.2;1.35;1.04;96.53497285;96.53497285;96.53497285;0.6;1
09/01/1990;2.6;3.8;3.2;1.04;96.25685134;96.25685134;96.25685134;0.7;0
10/01/1990;0.9;2.6;1.75;1.59;95.83441076;95.83441076;95.83441076;1.2;0
11/01/1990;-2.4;0.7;-0.85;1.32;96.9151449;96.9151449;96.9151449;1.4;0.2
12/01/1990;-3.6;-1.5;-2.55;2.13;96.9151449;96.9151449;96.9151449;1.2;0
13/01/1990;-4.6;3.8;-0.4;4.73;93.94576077;95;94.47288039;1.5;0
14/01/1990;-1.8;1.6;-0.1;1.66;95.70331369;95.70331369;95.70331369;1.6;1.6
15/01/1990;0.7;4.5;2.6;1.66;95.88675273;95.88675273;95.88675273;2.6;4.4
16/01/1990;4.9;7.5;6.2;0.83;96.12058075;96.12058075;96.12058075;2.9;0
17/01/1990;3.5;8.7;6.1;0.75;95.18092682;95.18092682;95.18092682;1.7;2.8
18/01/1990;-2.6;5.3;1.35;5.73;93.07282301;95;94.0364115;0.5;0.2
19/01/1990;-4;1.8;-1.1;3.94;95.57404874;95.57404874;95.57404874;0.8;0
20/01/1990;0.4;4.2;2.3;0.93;96.56120443;96.56120443;96.56120443;3.2;1
21/01/1990;0.6;9.9;5.25;4.9;94.98069212;95;94.99034606;1.2;0
22/01/1990;-1.3;7;2.85;6.04;95.30058255;95.30058255;95.30058255;2;0.2
23/01/1990;0.2;6.4;3.3;3.31;96.9151449;96.9151449;96.9151449;3.4;5.2
24/01/1990;4.7;8.8;6.75;4.14;96.65138613;96.65138613;96.65138613;3.4;7
25/01/1990;5.7;10.9;8.3;1.78;96.24035923;96.24035923;96.24035923;5.5;6
26/01/1990;3.8;7.1;5.45;2.56;96.9151449;96.9151449;96.9151449;3.9;1
27/01/1990;4.1;9.7;6.9;5.62;96.9151449;96.9151449;96.9151449;3.5;0.4
28/01/1990;3.9;12.8;8.35;1;96.9151449;96.9151449;96.9151449;3.7;2.4
29/01/1990;0.2;6.9;3.55;3.92;96.9151449;96.9151449;96.9151449;1.5;0
30/01/1990;1.4;9.9;5.65;5.08;96.65319526;96.65319526;96.65319526;4.1;0.8
31/01/1990;6.5;12;9.25;4.67;96.9151449;96.9151449;96.9151449;3.9;0
01/02/1990;4.9;11.1;8;4.32;96.67549614;96.67549614;96.67549614;2.4;1.8
02/02/1990;3.9;10.7;7.3;5.77;96.67220757;96.67220757;96.67220757;3.3;4.2
03/02/1990;2.5;14.1;8.3;6.78;96.43968321;96.43968321;96.43968321;3;0
04/02/1990;0.5;10.2;5.35;8.03;96.63446183;96.63446183;96.63446183;1.4;0
05/02/1990;-2.2;13.5;5.65;8.79;95.5004463;95.5004463;95.5004463;1.4;0.2
06/02/1990;1.4;14.3;7.85;8.3;96.68350224;96.68350224;96.68350224;2.3;0
07/02/1990;5.9;12.6;9.25;4.37;96.9151449;96.9151449;96.9151449;3.7;0
08/02/1990;3.7;13.9;8.8;4.6;96.30898632;96.30898632;96.30898632;3.4;1
09/02/1990;-0.4;8.6;4.1;7.06;95.94315439;95.94315439;95.94315439;1;0.2
10/02/1990;-2.2;7;2.4;2.34;96.57597305;96.57597305;96.57597305;3.6;6
11/02/1990;3.1;6.9;5;4.61;96.9151449;96.9151449;96.9151449;4.7;6.8
12/02/1990;1.2;5.8;3.5;5.42;96.9151449;96.9151449;96.9151449;3.6;4
13/02/1990;1.1;11.1;6.1;3.24;96.02762378;96.02762378;96.02762378;2.9;16.2
14/02/1990;5.4;11.7;8.55;2.43;95.73884862;95.73884862;95.73884862;4;24.6
15/02/1990;1.3;12.1;6.7;6.66;96.67712176;96.67712176;96.67712176;4.7;13
