Time PLC_Trunk PLC_Leaf Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm Emin_mm EminT_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/00:00:00 0.0307569311965565 0.0307569311964394 -0.03062396886076 -0.0306239688623469 -0.03062396886076 -0.0165872642404198 -0.0329857379608404 7.62821033373891e-05 0 7.62821033373891e-05 4 57.8624892083827 75.2477524592378 75.4153938940097 75.3148090331466 75.3148090331466 55.5203259307975 55.5200565491985 55.5201182645762 0 0 0.0141655229112312 0 -3.85476038338658 0 0 0.3 96.9151456629393 0 
1990-01-01/01:00:00 0.0308474885218682 0.0308474885218076 -0.0318493313328741 -0.0318493313336933 -0.0318493313328741 -0.0251501438976311 -0.0329767800300497 7.58614226234712e-05 0 7.58614226234712e-05 4 57.8651107325188 75.2401196838036 75.4153255788344 75.3102020418159 75.3102020418159 55.5206136975408 55.5202141936318 55.5203058592317 0 0 0.0140874028538311 0 -3.9282428115016 0 0 0.3 96.9151456948882 0 
1990-01-01/02:00:00 0.0308943350599168 0.0308943350598854 -0.0324818174226462 -0.032481817423069 -0.0324818174226462 -0.029567151843099 -0.0329726209747078 7.5442798952926e-05 0 7.5442798952926e-05 4 57.8677195680448 75.2361800373914 75.4152902384636 75.3078241178203 75.3078241178203 55.5207447083066 55.520286932016 55.5203921536906 0 0 0.0140096647876682 0 -4.00172523961661 0 0 0.3 96.9151457268371 0 
1990-01-01/03:00:00 0.0309185373232126 0.0309185373231965 -0.0328082023376326 -0.0328082023378507 -0.0328082023376326 -0.0318437135743104 -0.0329709366071403 7.50262236370303e-05 0 7.50262236370303e-05 4 57.8703157672056 75.2341470703649 75.4152719806158 75.3065970344652 75.3065970344652 55.5207949309523 55.5203158812736 55.520426211825 0 0 0.0139323070992537 0 -4.07520766773163 0 0 0.3 96.915145758786 0 
1990-01-01/04:00:00 0.0309310312787093 0.0309310312787009 -0.0329765923641774 -0.0329765923642899 -0.0329765923641774 -0.0330155062008569 -0.0329705268415802 7.46116880174547e-05 0 7.46116880174547e-05 4 57.8728993820761 75.2330982200313 75.4152625553511 75.3059639541593 75.3059639541593 55.5208035802146 55.520322266308 55.5204333607634 0 0 0.0138553281807432 0 -4.14869009584665 0 0 0.3 96.9151457907348 0 
1990-01-01/05:00:00 0.0309374773940065 0.0309374773940022 -0.0330634447082011 -0.0330634447082592 -0.0330634447082011 -0.0336171710248755 -0.0329707721576718 7.41991834661779e-05 0 7.41991834661779e-05 4 57.8754704645624 75.2325572451514 75.4152576924922 75.3056374240877 75.3056374240877 55.5207908943752 55.5203170413436 55.5204266718392 0 0 0.0137787264299203 0 -4.22217252396166 0 0 0.3 96.9151458226837 0 
1990-01-01/06:00:00 0.0309408011291236 0.0309408011291214 -0.03310822029902 -0.0331082202990499 -0.03310822029902 -0.0339246436448829 -0.0329713528255946 7.37887013854088e-05 0 7.37887013854088e-05 4 57.8780290664014 75.2322783531523 75.4152551851131 75.3054690859366 75.3054690859366 55.5207673167497 55.5203058592494 55.5204128903848 0 0 0.0137025002501823 0 -4.29565495207668 0 0 0.3 96.9151458546326 0 
1990-01-01/07:00:00 0.030942513257374 0.0309425132573729 -0.0331312833033435 -0.0331312833033589 -0.0331312833033435 -0.0340803224069506 -0.0329721038628782 7.33802332075051e-05 0 7.33802332075051e-05 4 57.8805752391617 75.2321347016456 75.4152538935076 75.3053823783904 75.3053823783904 55.5207382356435 55.5202916369566 55.5203954969927 0 0 0.0136266480505253 0 -4.36913738019169 0 0 0.3 96.9151458865815 0 
1990-01-01/08:00:00 0.0309438298504226 0.0309438298504216 -0.0331490174336938 -0.0331490174337074 -0.0331490174336938 -0.0341622255676503 -0.0329790632678348 0.000674576474169978 0.000114930768428532 7.35478450303183e-05 4 57.879530421502 75.2320242419238 75.4152529002883 75.3053157052696 75.3053157052696 55.520333112154 55.5202755478062 55.5203758921635 0.000374141975158152 0.00560371335204012 0.0136577734261033 0.0854509589987324 -4.33894067085752 0.0360314428253746 54.5936682491901 0.3 96.9151458734525 0 
1990-01-01/09:00:00 0.0310512813095046 0.0311087933868811 -0.0353650817252508 -0.0345938206652538 -0.0369071240212544 -0.034952939037321 -0.0329916157952241 0.00137691555415288 0.000200858758472142 7.56100918380492e-05 4 57.8666769940794 75.2086175807993 75.4151284541117 75.2912219301242 75.2912219301242 55.519666659138 55.5201223730009 55.5201929412632 0.000386183299793489 0.0140435007804429 0.0140407309367833 0.210699088730698 -3.9723165143586 0.0888438498281956 134.613306689057 0.3 96.9151457140507 0 
