Time PLC_Root PLC_TL Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil AET.C LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 VPD RG Tair Rn PAR WS RH 
631152000 0.03099348 0.031016 -0.03411993 -0.0338173 -0.03472501 -0.0351057 -0.03299586 0.0004953567 6 57.86249 75.22221 75.4152 75.2994 75.2994 55.51977 55.51988 55.51985 0.01416553 0 -3.85476 0 0 0.3 96.91514 
631155600 0.03099372 0.03101614 -0.03412183 -0.03382047 -0.03472436 -0.0351061 -0.03300204 0.0004939864 6 57.86511 75.22221 75.4152 75.29941 75.29941 55.51955 55.51975 55.51971 0.01408741 0 -3.928243 0 0 0.3 96.91514 
631159200 0.03099381 0.03101614 -0.03412089 -0.03382164 -0.03471922 -0.03510257 -0.03300819 0.0004913604 6 57.86772 75.22224 75.4152 75.29943 75.29943 55.51933 55.51963 55.51956 0.01400967 0 -4.001725 0 0 0.3 96.91514 
631162800 0.03099385 0.03101614 -0.03411914 -0.03382217 -0.0347129 -0.03509713 -0.0330143 0.0004881178 6 57.87032 75.22228 75.4152 75.29945 75.29945 55.51911 55.51951 55.51942 0.01393231 0 -4.075208 0 0 0.3 96.91514 
631166400 0.03099387 0.03101614 -0.03411713 -0.03382248 -0.03470625 -0.03509087 -0.03302036 0.0004846899 6 57.8729 75.22233 75.4152 75.29947 75.29947 55.51889 55.51939 55.51927 0.01385533 0 -4.14869 0 0 0.3 96.91514 
631170000 0.03099389 0.03101614 -0.03411504 -0.03382271 -0.03469951 -0.03508429 -0.03302637 0.000481211 6 57.87547 75.22237 75.4152 75.2995 75.2995 55.51867 55.51927 55.51913 0.01377873 0 -4.222173 0 0 0.3 96.91514 
631173600 0.0309939 0.03101614 -0.03411292 -0.0338229 -0.03469278 -0.03507759 -0.03303233 0.0004777281 6 57.87803 75.22241 75.4152 75.29952 75.29952 55.51845 55.51915 55.51899 0.0137025 0 -4.295655 0 0 0.3 96.91514 
631177200 0.03099391 0.03101614 -0.03411079 -0.03382307 -0.03468607 -0.03507085 -0.03303825 0.0004742586 6 57.88058 75.22245 75.4152 75.29955 75.29955 55.51824 55.51903 55.51884 0.01362665 0 -4.369137 0 0 0.3 96.91514 
631180800 0.03099465 0.03101614 -0.03412051 -0.03383303 -0.0346953 -0.03507191 -0.03305023 0.0004716153 6 57.87953 75.22239 75.4152 75.29952 75.29952 55.51789 55.51891 55.5187 0.01365778 0.08545096 -4.338941 0.03603144 54.59367 0.3 96.91514 
631184400 0.03102338 0.03105992 -0.03470977 -0.03421912 -0.03569125 -0.03528366 -0.03305978 0.0006255089 6 57.86668 75.21619 75.41517 75.29578 75.29578 55.51723 55.51875 55.51852 0.01404073 0.2106991 -3.972317 0.08884385 134.6133 0.3 96.91514 
631188000 0.03104963 0.03109882 -0.03523147 -0.03457169 -0.0365511 -0.03562503 -0.03307599 0.0008321622 6 57.8453 75.21083 75.41514 75.29256 75.29256 55.51646 55.51854 55.51827 0.01467772 0.3008365 -3.381676 0.1268514 192.2011 0.3 96.91514 
631191600 0.03106783 0.03112492 -0.03558109 -0.03481596 -0.03711125 -0.03595875 -0.03309442 0.0009877908 6 57.82152 75.20735 75.41512 75.29045 75.29045 55.51562 55.51829 55.51797 0.01538695 0.3497206 -2.750199 0.147464 223.4326 0.3 96.91514 
631195200 0.03108075 0.03114293 -0.03582215 -0.03498914 -0.03748795 -0.03623509 -0.0331144 0.001095137 6 57.80291 75.205 75.4151 75.28904 75.28904 55.51472 55.51801 55.51764 0.015942 0.3540199 -2.273727 0.1492768 226.1794 0.3 96.91514 
631198800 0.03108848 0.03115318 -0.03595934 -0.03509281 -0.03769203 -0.03643121 -0.03313536 0.001161616 6 57.79598 75.20373 75.41509 75.28828 75.28828 55.51379 55.51771 55.51728 0.0161487 0.3134414 -2.100033 0.1321664 200.2542 0.3 96.91514 
631202400 0.03108999 0.03115427 -0.0359729 -0.03511304 -0.03769207 -0.03652385 -0.03315662 0.001180866 6 57.80328 75.20373 75.41509 75.28828 75.28828 55.51285 55.51741 55.51693 0.01593105 0.2307506 -2.282984 0.0972988 147.424 0.3 96.91514 
631206000 0.03108999 0.03115427 -0.03583815 -0.03503294 -0.03744806 -0.03649382 -0.0331774 0.001142018 6 57.82212 75.20525 75.41509 75.28919 75.28919 55.51194 55.51711 55.51658 0.01536902 0.1115825 -2.765842 0.04705014 71.28884 0.3 96.91514 
631209600 0.03108999 0.03115427 -0.03549207 -0.03481148 -0.03685282 -0.03632294 -0.03319669 0.001022546 6 57.84078 75.20896 75.41509 75.29141 75.29141 55.51131 55.51684 55.51626 0.01481258 0 -3.259553 0 0 0.3 96.91514 
631213200 0.03108999 0.03115427 -0.0346858 -0.03428424 -0.03548869 -0.03594079 -0.03320314 0.000750917 6 57.84232 75.21745 75.41509 75.29651 75.29651 55.51099 55.51664 55.51603 0.01476659 0 -3.301086 0 0 0.3 96.91514 
631216800 0.03108999 0.03115427 -0.03448641 -0.03414578 -0.03516746 -0.03565965 -0.03321051 0.0005917029 6 57.84386 75.21945 75.41509 75.29771 75.29771 55.51075 55.51648 55.51584 0.01472073 0 -3.34262 0 0 0.3 96.91514 
631220400 0.03108999 0.03115427 -0.03442995 -0.03410492 -0.03507982 -0.03552145 -0.03321716 0.0005444413 6 57.8454 75.22 75.41509 75.29804 75.29804 55.51053 55.51633 55.51566 0.014675 0 -3.384153 0 0 0.3 96.91514 
631224000 0.03108999 0.03115427 -0.03441225 -0.03409251 -0.03505151 -0.03546022 -0.03322356 0.0005274844 6 57.84693 75.22017 75.41509 75.29814 75.29814 55.51032 55.51619 55.51549 0.01462939 0 -3.425687 0 0 0.3 96.91514 
